gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,emp,ni,revt,costat
001230,2010-12-31,2010,INDL,C,D,STD,ALK,USD,5016.6000,12.0390,251.1000,3832.3000,A
001230,2011-12-31,2011,INDL,C,D,STD,ALK,USD,5195.0000,12.8060,244.5000,4317.8000,A
001230,2012-12-31,2012,INDL,C,D,STD,ALK,USD,5505.0000,12.9320,316.0000,4657.0000,A
001230,2013-12-31,2013,INDL,C,D,STD,ALK,USD,5838.0000,13.1770,508.0000,4964.0000,A
001230,2014-12-31,2014,INDL,C,D,STD,ALK,USD,6181.0000,13.9520,605.0000,5368.0000,A
001230,2015-12-31,2015,INDL,C,D,STD,ALK,USD,6533.0000,15.1430,848.0000,5598.0000,A
001230,2016-12-31,2016,INDL,C,D,STD,ALK,USD,9962.0000,19.1120,814.0000,5931.0000,A
001230,2017-12-31,2017,INDL,C,D,STD,ALK,USD,10740.0000,23.1560,1034.0000,7933.0000,A
001230,2018-12-31,2018,INDL,C,D,STD,ALK,USD,10912.0000,23.3760,437.0000,8264.0000,A
001230,2019-12-31,2019,INDL,C,D,STD,ALK,USD,12993.0000,24.1340,769.0000,8781.0000,A
001300,2009-12-31,2009,INDL,C,D,STD,HON,USD,36004.0000,122.0000,2153.0000,30908.0000,A
001300,2010-12-31,2010,INDL,C,D,STD,HON,USD,37834.0000,130.0000,2022.0000,33370.0000,A
001300,2011-12-31,2011,INDL,C,D,STD,HON,USD,39808.0000,132.0000,2067.0000,36529.0000,A
001300,2012-12-31,2012,INDL,C,D,STD,HON,USD,41853.0000,132.0000,2926.0000,37665.0000,A
001300,2013-12-31,2013,INDL,C,D,STD,HON,USD,45435.0000,131.0000,3924.0000,39055.0000,A
001300,2014-12-31,2014,INDL,C,D,STD,HON,USD,45451.0000,127.0000,4239.0000,40306.0000,A
001300,2015-12-31,2015,INDL,C,D,STD,HON,USD,49316.0000,129.0000,4768.0000,38581.0000,A
001300,2016-12-31,2016,INDL,C,D,STD,HON,USD,54146.0000,131.0000,4809.0000,39302.0000,A
001300,2017-12-31,2017,INDL,C,D,STD,HON,USD,59387.0000,131.0000,1655.0000,40534.0000,A
001300,2018-12-31,2018,INDL,C,D,STD,HON,USD,57773.0000,114.0000,6765.0000,41802.0000,A
001300,2019-12-31,2019,INDL,C,D,STD,HON,USD,58679.0000,113.0000,6143.0000,36709.0000,A
001327,2009-09-30,2009,INDL,C,D,STD,SWKS,USD,1355.3260,3.3000,93.2890,802.5770,A
001327,2010-09-30,2010,INDL,C,D,STD,SWKS,USD,1564.0520,3.7000,137.2940,1071.8490,A
001327,2011-09-30,2011,INDL,C,D,STD,SWKS,USD,1890.3890,4.4000,226.5850,1418.9220,A
001327,2012-09-30,2012,INDL,C,D,STD,SWKS,USD,2136.6460,4.7000,202.0780,1568.5810,A
001327,2013-09-30,2013,INDL,C,D,STD,SWKS,USD,2333.1000,4.7500,278.1000,1792.0000,A
001327,2014-09-30,2014,INDL,C,D,STD,SWKS,USD,2973.8000,5.5500,457.7000,2291.5000,A
001327,2015-09-30,2015,INDL,C,D,STD,SWKS,USD,3719.4000,6.7000,798.3000,3258.4000,A
