PCOMMFEES,PEXECDIRPD,PDIRPENSN,ANNDIRRET,DIRMTGFEE,NUMMTGS,DIRSTK,DIRSTKAD,DIROPT,DIROPTAD,SALES,SALECHG,SALE3LS,SALE5LS,OIBD,OIBDCHG,OIBD3LS,OIBD5LS,PRETAX,NIBEX,NI,NICHG,NI3LS,NI5LS,NIAC,EPSEX,EPSEXCHG,EPSEX3LS,EPSEX5LS,EPSIN,EPSINCHG,COMMEQ,SEQ,ROEPER,ROEAVG,ASSETS,ASSETCHG,ROA,MKTVAL,DIVYIELD,PRCCF,PRCC,SHRSOUT,TRS1YR,TRS3YR,TRS5YR,EMPL,AJEX,BS_VOLATILITY,BS_YIELD,SRCDATE,GVKEY,YEAR,FYR,NAICS,CONAME,CUSIP,TICKER,SIC
1,0,0,20,0.75,12,0,0,,0,1689.638,14.587,3.866,5.166,767.553,1382.879,3.737,3.086,324.49,182.892,188.892,,5.252,-9.507,156.44,1.73,,6.307,-11.629,1.8,,1481.725,1875.918,10.153,10.718,6456.316,-0.407,2.33,1775.926,0,20.375,20.375,87.162,17.266,22.349,-1.975,7.92,1,0.571,3.596,1993-04-16,001075,1992,12,2211,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,0,20,0.75,12,0,0,,0,1718.538,1.71,2.483,3.571,756.211,-1.478,3.948,0.038,349.264,200.818,220.07,16.506,25.635,39.872,189.23,1.95,12.717,34.024,108.072,2.17,20.556,1649.5,2040.669,10.305,10.857,6956.797,7.752,2.443,1956.112,0.894,22.375,22.375,87.424,10.771,31.172,9.396,7.915,1,0.56,0,1994-04-15,001075,1993,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,0,12,0.7,13,0.5,0,,0,1685.421,-1.927,4.556,2.251,771.096,1.968,146.057,2.32,348.863,225.893,225.893,2.646,,7.567,200.619,2.3,17.949,,9.818,2.3,5.991,1776.417,2044.975,11.293,11.712,6909.75,-0.676,2.903,1715.814,4.204,19.625,19.625,87.43,-8.543,5.91,13.159,7.44,1,0.353,0.298,1995-03-25,001075,1994,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,1,12,0.9,13,0.5,0,,0,1669.798,-0.927,-0.393,0.9,806.413,4.58,1.66,3.675,346.707,218.742,207.171,-8.288,6.148,16.652,188.037,2.28,-0.87,9.638,22.996,2.15,-6.522,1881.087,2149.646,10.611,10.915,6997.051,1.263,2.853,2516.085,3.217,28.75,28.75,87.516,52.389,15.576,25.759,7.335,1,0.194,1.699,1996-04-01,001075,1995,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,1,12,0.9,12,0.5,0,,0,1817.76,8.861,1.889,4.274,843.366,4.582,3.703,74.744,356.607,228.151,198.272,-4.295,4.345,,181.18,2.41,5.702,7.315,,2.07,-3.721,1970.323,2188.992,10.712,10.96,6989.285,-0.111,3.02,2778.633,3.228,31.75,31.75,87.516,14.421,16.831,15.679,7.588,1,0.168,2.772,1997-04-01,001075,1996,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,1,12,0.9,12,0.5,0,,0,1995.026,9.752,5.782,3.379,925.791,9.773,6.284,3.82,398.94,248.659,248.659,25.413,3.252,6.336,235.856,2.76,14.523,6.266,9.792,2.76,33.333,2027.436,2198.597,11.633,11.799,6850.417,-1.987,3.443,3594.459,2.655,42.375,42.375,84.825,38.29,34.096,19.558,7.189,1,0.178,3.55,1998-04-01,001075,1997,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,1,12,0.9,12,0.5,0,,0,2130.586,6.795,8.462,4.392,946.807,2.27,5.496,4.598,417.188,252.595,252.595,1.583,4.913,4.695,242.892,2.87,3.986,7.973,8.036,2.87,3.986,2163.351,2258.592,11.228,11.592,6824.546,-0.378,3.559,3590.561,2.891,42.375,42.375,84.825,2.903,17.645,17.809,7.333,1,0.179,3.034,1999-04-01,001075,1998,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,1,12,0.9,13,0.5,0,,0,2423.353,13.741,10.059,7.533,964.345,1.852,4.57,4.574,438.853,270.788,168.903,-33.133,5.877,3.692,167.887,3.18,10.801,9.682,6.694,1.98,-31.01,2205.733,2205.733,12.23,12.349,6608.506,-3.166,4.082,2589.805,4.335,30.563,30.563,84.825,-25.383,2.02,13.111,7.534,1,0.178,2.925,2000-04-07,001075,1999,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,1,24,0.9,13,0.9,0,,0,3690.175,52.276,22.753,17.186,1070.381,10.996,4.956,5.827,526.184,302.332,302.332,78.997,6.732,6.687,302.332,3.57,12.264,8.956,9.382,3.57,80.303,2382.714,2382.714,12.689,13.178,7149.151,8.181,4.229,4035.647,2.992,47.625,47.625,84.825,61.962,7.537,14.497,7.2,1,0.244,3.294,2001-04-09,001075,2000,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,0,24,0.9,11,0.9,0,,0,4551.373,23.338,28.79,20.149,1102.53,3.004,5.207,5.505,540.902,327.367,312.166,3.253,9.028,7.489,312.166,3.86,8.123,10.383,9.879,3.68,3.081,2499.323,2499.323,13.098,13.411,7981.748,11.646,4.101,3542.31,3.644,41.85,41.85,84.825,-9.053,3.2,9.358,7.6,1,0.255,3.406,2002-04-08,001075,2001,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
