EXECDIR,CO_PER_ROL,TOTAL_SEC,TOTAL_CURR,TOTAL_ALT1,TOTAL_ALT2,AGE,TDC1,TDC2,TOTAL_ALT1_PCT,TOTAL_ALT2_PCT,GVKEY,YEAR,TICKER
0,17817,,511.667,,,,2492.087,1053.196,,,003851,2001,DAL
0,20384,,440,,,,1671.333,936.366,,,003851,2001,DAL
0,20984,,530,,,,2248.981,735.347,,,003851,2001,DAL
1,15586,,2196.188,,,60,14038.576,4870.159,,,003851,2002,DAL
0,17816,,1933.75,,,,5074.264,2286.018,,,003851,2002,DAL
0,17817,,1301.4,,,,3441.999,1506.227,,,003851,2002,DAL
0,20384,,982.85,,,,2450.088,1166.119,,,003851,2002,DAL
0,20984,,1406,,,,3497.107,1507.473,,,003851,2002,DAL
1,15586,,639.313,,,,3089.508,1171.873,,,003851,2003,DAL
0,17816,,641.667,,,,3451.524,752.983,,,003851,2003,DAL
0,17817,,504,,,,2474.318,598.839,,,003851,2003,DAL
0,20384,,410.667,,,,1973.002,499.974,,,003851,2003,DAL
0,20984,,560,,,,2058.205,639.339,,,003851,2003,DAL
0,15588,,382.125,,,,1495.774,389.902,,,003851,2004,DAL
0,17817,,372.6,,,,831.151,831.151,,,003851,2004,DAL
1,29277,,250,,,72,382.207,382.207,,,003851,2004,DAL
0,29278,,420,,,,1475.036,428.092,,,003851,2004,DAL
0,29279,,367.917,,,,1488.324,382.452,,,003851,2004,DAL
0,29280,,362.5,,,,1481.464,375.592,,,003851,2004,DAL
0,15588,,394.877,,,46,403.115,403.115,,,003851,2005,DAL
1,29277,,431.25,,,73,433.955,433.955,,,003851,2005,DAL
0,29278,,401.981,,,38,411.256,411.256,,,003851,2005,DAL
0,29279,,394.877,,,49,432.556,432.556,,,003851,2005,DAL
0,31643,,614.616,,,48,826.846,826.846,,,003851,2005,DAL
1,738,,526.834,,,,545.325,545.325,,,003897,1992,DTE
1,739,,350.468,,,,363.167,363.167,,,003897,1992,DTE
0,740,,233.582,,,,272.931,272.931,,,003897,1992,DTE
0,741,,181.688,,,,187.198,187.198,,,003897,1992,DTE
0,742,,164.267,,,,169.056,169.056,,,003897,1992,DTE
1,738,,625.31,,,52,645.88,645.88,,,003897,1993,DTE
1,739,,396.674,,,55,411.803,411.803,,,003897,1993,DTE
0,740,,263.19,,,,304.877,304.877,,,003897,1993,DTE
0,741,,237.313,,,,244.304,244.304,,,003897,1993,DTE
0,742,,221.141,,,,226.896,226.896,,,003897,1993,DTE
1,738,,573.475,,,53,588.927,588.927,,,003897,1994,DTE
1,739,,349.25,,,56,361.312,361.312,,,003897,1994,DTE
0,740,,236.251,,,,276.58,276.58,,,003897,1994,DTE
0,741,,226.001,,,,233.912,233.912,,,003897,1994,DTE
0,742,,225,,,,232.002,232.002,,,003897,1994,DTE
1,4748,,415.22,,,45,419.743,419.743,,,003897,1994,DTE
1,738,,634.828,,,54,657.517,657.517,,,003897,1995,DTE
1,739,,367.146,,,57,380.497,380.497,,,003897,1995,DTE
0,740,,244.538,,,,286.775,286.775,,,003897,1995,DTE
0,741,,239.189,,,,247.881,247.881,,,003897,1995,DTE
0,742,,236.077,,,,244.662,244.662,,,003897,1995,DTE
1,4748,,478.577,,,46,482.973,482.973,,,003897,1995,DTE
0,14261,,220,,,,226.885,226.885,,,003897,1995,DTE
1,738,,636.539,,,55,758.071,758.071,,,003897,1996,DTE
1,739,,345.039,,,58,392.247,392.247,,,003897,1996,DTE
0,740,,230.115,,,,296.106,296.106,,,003897,1996,DTE
0,741,,227.308,,,,258.646,258.646,,,003897,1996,DTE
0,742,,228.768,,,,265,265,,,003897,1996,DTE
1,4748,,454.615,,,47,519.601,519.601,,,003897,1996,DTE
0,14261,,234.615,,,,259.982,259.982,,,003897,1996,DTE
1,738,,874.12,,,56,1092.374,974.176,,,003897,1997,DTE
1,739,,440.179,,,59,534.005,483.349,,,003897,1997,DTE
0,741,,290.922,,,,,318.12,,,003897,1997,DTE
0,742,,339.669,,,,424.172,373.516,,,003897,1997,DTE
1,4748,,650.413,,,48,791.296,706.869,,,003897,1997,DTE
0,14261,,374.491,,,,451.109,400.453,,,003897,1997,DTE
1,738,,925.176,,,57,1088.037,1088.037,,,003897,1998,DTE
1,739,,489.448,,,60,595.967,554.044,,,003897,1998,DTE
0,741,,335.31,,,,419.676,377.753,,,003897,1998,DTE
0,742,,425.606,,,,520.511,478.588,,,003897,1998,DTE
1,4748,,868.503,,,49,2227.691,2122.883,,,003897,1998,DTE
0,14261,,421.306,,,,551.198,509.275,,,003897,1998,DTE
1,739,,533.967,,,61,736.128,628.92,,,003897,1999,DTE
0,741,,372.385,,,,502.906,431.434,,,003897,1999,DTE
0,742,,550.669,,,,802.319,623.639,,,003897,1999,DTE
1,4748,,1199.611,,,50,1601.693,1364.548,,,003897,1999,DTE
0,14261,,550.669,,,,838.957,660.277,,,003897,1999,DTE
1,739,,775.196,,,62,1095.513,862.895,,,003897,2000,DTE
0,741,,485.625,,,,695.987,540.908,,,003897,2000,DTE
0,742,,826.558,,,,1290.628,902.931,,,003897,2000,DTE
1,4748,,1899.24,,,51,2912.58,2059.647,,,003897,2000,DTE
0,14261,,826.454,,,,1330.62,942.923,,,003897,2000,DTE
0,25021,,478.601,,,,,532.788,,,003897,2000,DTE
1,739,,760.077,,,,1111.246,997.38,,,003897,2001,DTE
0,742,,848.371,,,,1351.208,1180.409,,,003897,2001,DTE
1,4748,,1978.461,,,52,3582.622,3155.624,,,003897,2001,DTE
0,14261,,848.371,,,,1400.242,1229.443,,,003897,2001,DTE
0,23615,,636.832,,,,3930.73,3232.555,,,003897,2001,DTE
0,25021,,575.287,,,,,712.507,,,003897,2001,DTE
0,742,,773.123,,,,1456.657,1954.828,,,003897,2002,DTE
1,4748,,1943.077,,,53,3988.19,3475.727,,,003897,2002,DTE
0,14261,,773.123,,,,1440.019,1552.23,,,003897,2002,DTE
0,23615,,726.323,,,,1116.835,963.096,,,003897,2002,DTE
0,25021,,540.831,,,,809.548,1053.067,,,003897,2002,DTE
0,742,,560.723,,,,1341.296,1189.303,,,003897,2003,DTE
1,4748,,1240.865,,,54,4098.429,3490.456,,,003897,2003,DTE
0,14261,,567.523,,,,1381.668,1404.813,,,003897,2003,DTE
0,23615,,560.723,,,,1341.358,1189.365,,,003897,2003,DTE
0,25021,,418.838,,,,739.088,647.892,,,003897,2003,DTE
0,742,,682.531,,,,1286.558,1509.388,,,003897,2004,DTE
1,4748,,1679.423,,,55,4176.519,3721.932,,,003897,2004,DTE
0,14261,,763.731,,,,1799.586,2240.604,,,003897,2004,DTE
0,23615,,668.331,,,,1272.358,1056.69,,,003897,2004,DTE
0,25021,,545.615,,,,898.752,1030.0561,,,003897,2004,DTE
0,742,,1034.823,,,,1597.255,1652.215,,,003897,2005,DTE
1,4748,,2927.5,,,56,5300.88,5389.293,,,003897,2005,DTE
0,14261,,1402.692,,,,2242.484,2059.754,,,003897,2005,DTE
0,23615,,993.9,,,,1556.157,1425.635,,,003897,2005,DTE
0,25021,,840.4,,,,1236.115,1354.058,,,003897,2005,DTE
0,758,,7458.981,,,,,7458.981,,,003980,1992,DIS
0,759,,859.616,,,,,859.616,,,003980,1992,DIS
0,760,,733.173,,,,,9118.679,,,003980,1992,DIS
0,761,,755.578,,,,,1843.703,,,003980,1992,DIS
0,762,,606.732,,,,,606.732,,,003980,1992,DIS
0,4753,,3754.971,,,,,3754.971,,,003980,1992,DIS
0,4754,,562.056,,,,,562.056,,,003980,1992,DIS
1,758,,750,,,51,759.667,203020.259,,,003980,1993,DIS
0,759,,875,,,,884.992,884.992,,,003980,1993,DIS
1,760,,700,,,61,710.063,9914.478,,,003980,1993,DIS
0,761,,783.558,,,,793.709,3487.085,,,003980,1993,DIS
1,762,,800,,,63,805.532,5425.532,,,003980,1993,DIS
0,4753,,400,,,,413.934,413.934,,,003980,1993,DIS
0,4754,,679.166,,,,684.679,684.679,,,003980,1993,DIS
0,8889,,1005.77,,,,1016.612,1016.612,,,003980,1993,DIS
1,758,,8018.807,,,52,10666.931,10666.931,,,003980,1994,DIS
0,759,,2100,,,,5632.091,2109.731,,,003980,1994,DIS
0,761,,1236.173,,,,1245.874,1245.874,,,003980,1994,DIS
1,762,,850,,,64,856.67,856.67,,,003980,1994,DIS
0,4753,,2676.801,,,,5753.602,5753.602,,,003980,1994,DIS
0,4754,,1182.212,,,,4714.271,1191.911,,,003980,1994,DIS
0,8889,,1098.751,,,,1106.61,1106.61,,,003980,1994,DIS
1,758,,8774.707,,,53,14778.106,14778.106,,,003980,1995,DIS
1,759,,2247.115,,,59,2253.935,2253.935,,,003980,1995,DIS
0,761,,1025.769,,,43,3988.836,1032.597,,,003980,1995,DIS
1,762,,850,,,65,4175.509,853.82,,,003980,1995,DIS
0,4754,,950,,,,1061.847,1061.847,,,003980,1995,DIS
0,8889,,1119.616,,,53,7429.979,2606.461,,,003980,1995,DIS
1,758,,8650,,,54,202185.14,8653.52,,,003980,1996,DIS
1,759,,1750,,,60,1753.52,4997.32,,,003980,1996,DIS
0,761,,1172.308,,,,1175.828,1175.828,,,003980,1996,DIS
1,762,,1159.614,,,66,1163.134,7520.078,,,003980,1996,DIS
0,4754,,1302.577,,,,6553.423,1379.607,,,003980,1996,DIS
0,15690,,698.078,,,,,701.078,,,003980,1996,DIS
0,15691,,698.078,,,,,701.078,,,003980,1996,DIS
1,758,,10650,,,55,10653.82,10653.82,,,003980,1997,DIS
1,759,,2224.616,,,61,7103.331,2228.436,,,003980,1997,DIS
0,761,,1366.346,,,,1370.166,6553.366,,,003980,1997,DIS
1,762,,1200,,,67,1200.62,1200.62,,,003980,1997,DIS
0,4754,,1932.692,,,,2015.264,4666.872,,,003980,1997,DIS
0,8889,,1175,,,,1178.495,1178.495,,,003980,1997,DIS
0,15690,,847.597,,,,,851.092,,,003980,1997,DIS
0,15691,,1177.885,,,,1181.38,1181.38,,,003980,1997,DIS
1,758,,5764.423,,,56,5768.243,575595.945,,,003980,1998,DIS
1,759,,1864.423,,,62,6393.498,11224.598,,,003980,1998,DIS
1,762,,919.615,,,68,920.235,920.235,,,003980,1998,DIS
0,8889,,911.538,,,,915.033,915.033,,,003980,1998,DIS
0,15690,,1061.443,,,,1064.938,2027.763,,,003980,1998,DIS
0,15691,,1031.154,,,,6741.607,1820.747,,,003980,1998,DIS
0,17913,,412.5,,,,,412.5,,,003980,1998,DIS
0,20714,,2088.461,,,,2831.735,2831.735,,,003980,1998,DIS
1,758,,750,,,57,753.82,50660.325,,,003980,1999,DIS
1,759,,750,,,63,753.82,7460.292,,,003980,1999,DIS
1,762,,537.692,,,69,538.312,538.312,,,003980,1999,DIS
0,8889,,600,,,,603.495,4425.075,,,003980,1999,DIS
0,15690,,513.462,,,,517.282,517.282,,,003980,1999,DIS
0,15691,,514.423,,,,518.243,518.243,,,003980,1999,DIS
0,17913,,1000,,,,1002.295,1002.295,,,003980,1999,DIS
0,20714,,3175.385,,,,,4211.13,,,003980,1999,DIS
1,758,,9313.462,,,58,33546.567,72848.482,,,003980,2000,DIS
1,759,,2787.5,,,,6993.179,4174.935,,,003980,2000,DIS
0,15690,,2200,,,,15349.66,4535.632,,,003980,2000,DIS
0,15691,,2200,,,,15521.804,3858.593,,,003980,2000,DIS
0,17913,,1400,,,,,1403.95,,,003980,2000,DIS
1,20714,,6084.615,,,49,10281.197,15304.133,,,003980,2000,DIS
1,758,,1000,,,59,1004.02,1004.02,,,003980,2001,DIS
0,761,,1700,,,,1700,1700,,,003980,2001,DIS
0,15690,,1700,,,,1704.02,1704.02,,,003980,2001,DIS
0,15691,,1700,,,,1721.878,1721.878,,,003980,2001,DIS
0,17913,,1000,,,,2906.522,1887.75,,,003980,2001,DIS
1,20714,,1000,,,50,1596.47,1596.47,,,003980,2001,DIS
0,26640,,1063.171,,,,,1067.716,,,003980,2001,DIS
1,758,,6000,,,60,6092.894,6092.894,,,003980,2002,DIS
0,761,,1875,,,,1875,1875,,,003980,2002,DIS
0,15690,,1875,,,,7038.673,1879.718,,,003980,2002,DIS
0,15691,,1875,,,,7038.673,1879.718,,,003980,2002,DIS
0,17913,,1325,,,,3478.895,1329.33,,,003980,2002,DIS
1,20714,,5000,,,51,19292.976,5657.755,,,003980,2002,DIS
0,26640,,1050.369,,,,,1054.689,,,003980,2002,DIS
1,758,,7250,,,,7318.431,7318.431,,,003980,2003,DIS
0,761,,2291.827,,,,2291.827,2291.827,,,003980,2003,DIS
0,15690,,2291.827,,,,2296.602,2296.602,,,003980,2003,DIS
0,15691,,2291.827,,,,2296.602,2585.547,,,003980,2003,DIS
1,20714,,6394.231,,,,6899.006,6899.006,,,003980,2003,DIS
0,26640,,1385.291,,,,2860.459,1964.694,,,003980,2003,DIS
0,30111,,688.27,,,,,794.202,,,003980,2003,DIS
1,758,,8250,,,62,8312.373,8312.373,,,003980,2004,DIS
0,15690,,2680.385,,,,6136.95,6136.95,,,003980,2004,DIS
0,15691,,2930.385,,,,6386.95,6386.95,,,003980,2004,DIS
1,20714,,8000,,,53,11956.565,11956.565,,,003980,2004,DIS
0,26640,,2249.616,,,,4596.943,3218.556,,,003980,2004,DIS
0,30111,,787.019,,,,,984.227,,,003980,2004,DIS
1,758,,10111.806,,,,10278.138,10278.138,,,003980,2005,DIS
0,15690,,1725,,,,1730.15,4038.36,,,003980,2005,DIS
0,15691,,3623.15,,,,4642.001,5067.986,,,003980,2005,DIS
1,20714,,9240.441,,,54,12363.692,11631.878,,,003980,2005,DIS
0,26640,,2703.525,,,,3209.347,2708.675,,,003980,2005,DIS
0,30111,,1082.115,,,,1621.849,1438.269,,,003980,2005,DIS
0,32040,,566.346,,,,,570.546,,,003980,2005,DIS
1,3046,,532.5,,,,631.471,3152.385,,,004016,1992,DG
0,3047,,187.5,,,,205.827,1278.487,,,004016,1992,DG
0,3048,,156.8,,,,167.776,815.25,,,004016,1992,DG
0,3049,,141.053,,,,682.708,178.053,,,004016,1992,DG
0,3050,,225,,,,236.868,953.604,,,004016,1992,DG
0,5108,,9.952,,,,,10.979,,,004016,1992,DG
1,3046,,577.5,,,54,3089.682,4309.739,,,004016,1993,DG
0,3047,,202.5,,,46,1341.3,1910.088,,,004016,1993,DG
0,3048,,169.8,,,40,1000.603,1820.704,,,004016,1993,DG
0,3049,,169.8,,,43,1035.844,222.825,,,004016,1993,DG
0,3050,,250,,,54,1382.377,3060.605,,,004016,1993,DG
0,5108,,155.274,,,,,451.287,,,004016,1993,DG
1,3046,,674.22,,,55,3807.979,7722.029,,,004016,1994,DG
0,3047,,217.082,,,,631.649,2702.109,,,004016,1994,DG
0,3048,,201.879,,,,502.283,1644.258,,,004016,1994,DG
0,3049,,196.875,,,,,205.527,,,004016,1994,DG
0,3050,,300.332,,,,714.977,3097.663,,,004016,1994,DG
0,5108,,246.72,,,,1483.456,2182.742,,,004016,1994,DG
0,12810,,26.16,,,,,33.907,,,004016,1994,DG
1,3046,,1037.5,,,56,2640.864,2259.669,,,004016,1995,DG
0,3047,,270,,,48,800.704,1540.963,,,004016,1995,DG
0,3048,,252.5,,,42,651.73,261.136,,,004016,1995,DG
0,3049,,248.75,,,45,647.996,2707.107,,,004016,1995,DG
0,3050,,420,,,56,951.021,434.851,,,004016,1995,DG
0,5108,,305,,,49,305,2636.908,,,004016,1995,DG
0,12810,,198.33,,,,,227.462,,,004016,1995,DG
1,3046,,586.564,,,,2477.062,3489.476,,,004016,1996,DG
0,3047,,174.168,,,,811.374,862.318,,,004016,1996,DG
0,3048,,157.064,,,,618.434,1779.937,,,004016,1996,DG
0,3050,,270.314,,,,907.803,2551.751,,,004016,1996,DG
0,12810,,151.562,,,,784.467,1268.745,,,004016,1996,DG
0,14787,,32.219,,,,,371.844,,,004016,1996,DG
0,14788,,116.667,,,,,204.811,,,004016,1996,DG
0,16931,,137.5,,,,,143.5,,,004016,1996,DG
1,3046,,1199.129,,,58,3182.636,8674.735,,,004016,1997,DG
0,3047,,330,,,50,993.951,2791.319,,,004016,1997,DG
0,3050,,500,,,58,1164.852,1513.647,,,004016,1997,DG
0,14787,,386.63,,,48,2267.067,2059.481,,,004016,1997,DG
0,14788,,350,,,50,1303.558,2626.378,,,004016,1997,DG
0,16931,,270,,,,,278.856,,,004016,1997,DG
1,3046,,1232.167,,,59,3315.465,9249.68,,,004016,1998,DG
0,3047,,368.833,,,51,1028.576,6883.115,,,004016,1998,DG
0,3049,,277.483,,,,,285.162,,,004016,1998,DG
0,3050,,525.75,,,59,1197.824,10028.436,,,004016,1998,DG
0,14788,,344.667,,,51,1221.614,3273.291,,,004016,1998,DG
0,16931,,303.967,,,44,1566.512,3227.593,,,004016,1998,DG
0,19443,,137.5,,,,,137.5,,,004016,1998,DG
1,3046,,1123.167,,,60,3578.096,9940.778,,,004016,1999,DG
0,3047,,418.333,,,52,1344.848,4601.819,,,004016,1999,DG
0,3049,,266.349,,,,,281.274,,,004016,1999,DG
0,3050,,473.192,,,60,1399.701,526.069,,,004016,1999,DG
0,16931,,322.667,,,45,1208.761,335.129,,,004016,1999,DG
0,19443,,409.333,,,43,1499.782,445.988,,,004016,1999,DG
0,23256,,201.875,,,,,295.342,,,004016,1999,DG
1,3046,,775.029,,,,2930.212,3275.639,,,004016,2000,DG
0,3047,,464.012,,,,2014.871,534.612,,,004016,2000,DG
0,3049,,201.674,,,,1104.599,1089.59,,,004016,2000,DG
0,16931,,245.842,,,,932.716,2362.017,,,004016,2000,DG
0,19443,,482.846,,,,1236.834,566.133,,,004016,2000,DG
0,23256,,467.51,,,,1193.944,523.243,,,004016,2000,DG
0,25430,,178.756,,,,,197.361,,,004016,2000,DG
1,3046,,1595.864,,,62,2784.831,1651.264,,,004016,2001,DG
0,3049,,398.341,,,51,1410.503,416.017,,,004016,2001,DG
0,16931,,465.218,,,47,846.815,482.108,,,004016,2001,DG
0,23902,,1025.016,,,58,4312.992,1456.998,,,004016,2001,DG
0,23903,,575.37,,,43,2033.511,893.283,,,004016,2001,DG
0,25430,,346.674,,,,,367.5,,,004016,2001,DG
1,3046,,1174.35,,,,4898.152,1442.723,,,004016,2002,DG
0,3049,,396.18,,,52,952.791,458.43,,,004016,2002,DG
0,16931,,507.11,,,49,1512.971,566.215,,,004016,2002,DG
0,23902,,975.951,,,60,2211.929,1128.742,,,004016,2002,DG
0,23903,,578.839,,,44,1115.028,620.667,,,004016,2002,DG
0,25430,,338.224,,,45,577.354,378.98,,,004016,2002,DG
0,29346,,280.928,,,,,290.254,,,004016,2002,DG
0,3049,,568.334,,,,1242.511,1830.766,,,004016,2003,DG
0,16931,,722.472,,,,1409.461,1434.398,,,004016,2003,DG
0,23902,,824.88,,,,1605.617,1605.617,,,004016,2003,DG
0,23903,,845.849,,,,1771.504,1555.058,,,004016,2003,DG
1,27516,,2457.143,,,54,9494.77,3500.746,,,004016,2003,DG
0,27517,,516.162,,,,2964.635,1073.776,,,004016,2003,DG
0,29345,,292.632,,,,,318.809,,,004016,2003,DG
0,29346,,502.511,,,,,586.553,,,004016,2003,DG
0,16931,,555.551,,,,1111.524,949.937,,,004016,2004,DG
1,27516,,1526.488,,,55,1635.171,1635.171,,,004016,2004,DG
0,29344,,534.112,,,,1978.784,989.013,,,004016,2004,DG
0,29345,,521.355,,,,1322.444,961.38,,,004016,2004,DG
0,29346,,473.525,,,,793.427,578.508,,,004016,2004,DG
0,16931,,418.349,,,,1098.727,829.831,,,004016,2005,DG
1,27516,,988.371,,,56,3314.901,3314.901,,,004016,2005,DG
0,29344,,480.019,,,,1346.398,753.981,,,004016,2005,DG
0,29345,,426.683,,,,1079.678,606.685,,,004016,2005,DG
0,31013,,432.712,,,,1789.008,1045.913,,,004016,2005,DG
1,763,,667.323,,,,842.528,966.55,,,004029,1992,D
1,764,,528.752,,,,598.509,598.509,,,004029,1992,D
0,765,,260.311,,,,334.695,334.695,,,004029,1992,D
0,766,,256.207,,,,330.094,341.344,,,004029,1992,D
0,767,,209.688,,,,254.544,267.903,,,004029,1992,D
0,4755,,236.472,,,,291.129,291.129,,,004029,1992,D
1,763,,721.166,,,58,1029.172,1029.172,,,004029,1993,D
1,764,,558.202,,,52,672.992,672.992,,,004029,1993,D
0,765,,296.701,,,,441.434,441.434,,,004029,1993,D
0,766,,291.875,,,,438.267,438.267,,,004029,1993,D
0,767,,239.58,,,,330.528,330.528,,,004029,1993,D
0,4755,,247.594,,,,310.929,310.929,,,004029,1993,D
0,8890,,205.153,,,,258.144,258.144,,,004029,1993,D
1,763,,844.848,,,59,849.348,849.348,,,004029,1994,D
0,764,,578.405,,,,652.614,652.614,,,004029,1994,D
1,766,,497.747,,,53,617.108,617.108,,,004029,1994,D
0,767,,295.1,,,,365.76,365.76,,,004029,1994,D
0,4755,,302.509,,,,310.811,310.811,,,004029,1994,D
0,8890,,291.692,,,,362.333,362.333,,,004029,1994,D
0,11904,,230.027,,,,300.898,300.898,,,004029,1994,D
1,763,,942.211,,,60,1079.026,1079.026,,,004029,1995,D
0,764,,679.075,,,,761.545,761.545,,,004029,1995,D
0,767,,298.046,,,,395.259,395.259,,,004029,1995,D
0,4755,,313.066,,,,379.689,379.689,,,004029,1995,D
0,8890,,296.803,,,,394.016,394.016,,,004029,1995,D
0,11904,,257.654,,,,346.291,346.291,,,004029,1995,D
1,763,,1013.613,,,61,1427.336,1427.336,,,004029,1996,D
0,764,,658.081,,,,738.265,738.265,,,004029,1996,D
0,767,,369.1,,,,434.837,434.837,,,004029,1996,D
0,8890,,351.6,,,,417.762,417.762,,,004029,1996,D
0,11904,,290.231,,,,350.563,350.563,,,004029,1996,D
0,16156,,267.343,,,,296.933,296.933,,,004029,1996,D
1,763,,1266.187,,,62,1408.37,1408.37,,,004029,1997,D
0,767,,489.655,,,,839.935,839.935,,,004029,1997,D
0,8890,,471.436,,,,824.905,824.905,,,004029,1997,D
0,13924,,672.181,,,,1021.175,1145.997,,,004029,1997,D
0,13925,,529.834,,,,615.107,984.934,,,004029,1997,D
0,16156,,423.1,,,,495.498,495.498,,,004029,1997,D
0,18552,,380.49,,,,465.43,465.43,,,004029,1997,D
1,763,,1389.344,,,63,3877.484,3877.484,,,004029,1998,D
0,767,,545.332,,,,976.842,976.842,,,004029,1998,D
0,8890,,543.06,,,,973.884,973.884,,,004029,1998,D
0,13924,,875.089,,,,1058.355,1058.355,,,004029,1998,D
0,16156,,553.76,,,,1653.958,1653.958,,,004029,1998,D
0,18552,,514.899,,,,606.09,606.09,,,004029,1998,D
0,21085,,415.49,,,,1493.966,1493.966,,,004029,1998,D
1,763,,1309.46,,,64,11325.151,2424.068,,,004029,1999,D
0,767,,512.093,,,,960.269,960.269,,,004029,1999,D
0,8890,,520.667,,,,4116.567,867.997,,,004029,1999,D
0,16156,,512.322,,,,4131.473,882.903,,,004029,1999,D
0,18552,,538.28,,,,3607.602,1080.936,,,004029,1999,D
0,21085,,468.047,,,,,845.609,,,004029,1999,D
0,23589,,509.415,,,,,800.71,,,004029,1999,D
1,763,,2420.528,,,65,4959.115,4320.182,,,004029,2000,D
0,8890,,801.011,,,,1549.122,1290.094,,,004029,2000,D
0,16156,,1062.119,,,,2001.429,1673.329,,,004029,2000,D
0,18552,,814.943,,,,1575.663,1309.73,,,004029,2000,D
0,21085,,1062.119,,,,2032.691,1704.591,,,004029,2000,D
0,23589,,696.011,,,,,1081.638,,,004029,2000,D
0,25089,,418.674,,,,,612.165,,,004029,2000,D
1,763,,2250,,,66,14801.489,3789.939,,,004029,2001,D
0,8890,,707.692,,,,5564.77,1435.439,,,004029,2001,D
0,16156,,1028.077,,,,7402.049,1896.274,,,004029,2001,D
0,18552,,700,,,,4627.78,1416.078,,,004029,2001,D
0,21085,,1028.077,,,,6497.08,1908.935,,,004029,2001,D
0,23589,,707.692,,,,3145.743,3902.636,,,004029,2001,D
0,25088,,496.889,,,,,1126.374,,,004029,2001,D
0,25089,,550.846,,,,,1110.532,,,004029,2001,D
0,26780,,406,,,,,792.745,,,004029,2001,D
1,763,,2300,,,,2785.151,9000.773,,,004029,2002,D
0,8890,,802.769,,,,997.204,3265.864,,,004029,2002,D
0,16156,,1055.577,,,,1288.253,3556.913,,,004029,2002,D
0,18552,,720,,,,908.659,3865.888,,,004029,2002,D
0,21085,,1055.577,,,,1298.183,3566.843,,,004029,2002,D
0,25088,,714.401,,,,3543.381,752.296,,,004029,2002,D
0,25089,,567.346,,,,706.771,1021.26,,,004029,2002,D
0,26780,,552.583,,,,642.427,642.427,,,004029,2002,D
1,763,,2530,,,68,7220.296,10603.648,,,004029,2003,D
0,8890,,912,,,,2848.342,4083.142,,,004029,2003,D
0,16156,,1097.8,,,,3707.809,4942.609,,,004029,2003,D
0,25088,,843.877,,,,2609.169,2609.169,,,004029,2003,D
0,25089,,595,,,,1175.507,1175.507,,,004029,2003,D
0,26780,,621,,,,1357.721,1357.721,,,004029,2003,D
0,30355,,585,,,,1283.434,1283.434,,,004029,2003,D
1,763,,1100,,,69,6313.167,23020.921,,,004029,2004,D
0,8890,,480,,,,2571.765,8516.152,,,004029,2004,D
0,16156,,687.981,,,50,4013.758,9973.55,,,004029,2004,D
0,25088,,428.077,,,,2203.391,2203.391,,,004029,2004,D
0,25089,,350,,,,1032.676,1836.855,,,004029,2004,D
0,30355,,325,,,,1096.451,1096.451,,,004029,2004,D
1,763,,2761.424,,,70,8556.649,8556.649,,,004029,2005,D
0,8890,,1003.2,,,,1112.758,1112.758,,,004029,2005,D
1,16156,,1567.529,,,51,1745.431,1745.431,,,004029,2005,D
0,25088,,926.989,,,,1028.67,1028.67,,,004029,2005,D
0,30355,,741.925,,,,779.814,1281.816,,,004029,2005,D
1,774,,805,,,,1291.914,1645.188,,,004058,1992,DOV
0,775,,550,,,,683.053,565.971,,,004058,1992,DOV
1,776,,490,,,,1002.91,1405.058,,,004058,1992,DOV
1,777,,448,,,,745.06,796.107,,,004058,1992,DOV
0,778,,430,,,,762.147,736.005,,,004058,1992,DOV
0,779,,442,,,,667.805,733.424,,,004058,1992,DOV
0,780,,374,,,,561.851,602.882,,,004058,1992,DOV
1,774,,910,,,57,1447.39,2251.798,,,004058,1993,DOV
0,775,,545,,,,664.5,559.443,,,004058,1993,DOV
1,776,,630,,,51,750.972,653.462,,,004058,1993,DOV
0,777,,590,,,,847.293,946.598,,,004058,1993,DOV
1,778,,525,,,,932.216,845.364,,,004058,1993,DOV
0,779,,495,,,,909.056,1263.042,,,004058,1993,DOV
0,780,,490,,,,630.926,553.472,,,004058,1993,DOV
0,4758,,349,,,,,397.747,,,004058,1993,DOV
1,774,,750,,,58,1466.121,1183.305,,,004058,1994,DOV
0,775,,540,,,52,688.479,741.575,,,004058,1994,DOV
1,776,,850,,,52,1277.043,1084.997,,,004058,1994,DOV
0,777,,640,,,,1223.38,1073.147,,,004058,1994,DOV
1,778,,585,,,56,1224.737,1272.245,,,004058,1994,DOV
0,779,,560,,,,890.731,962.367,,,004058,1994,DOV
0,780,,550,,,,1143.759,1018.11,,,004058,1994,DOV
0,4758,,550,,,,895.144,789.456,,,004058,1994,DOV
1,776,,1300,,,53,2545.276,2071.933,,,004058,1995,DOV
0,777,,760,,,,1654.762,1485.12,,,004058,1995,DOV
1,778,,635,,,,1259.062,1833.49,,,004058,1995,DOV
0,780,,705,,,,1903.36,1754.772,,,004058,1995,DOV
0,4758,,630,,,,1067.146,970.224,,,004058,1995,DOV
1,776,,1630,,,54,3221.956,3737.718,,,004058,1996,DOV
0,777,,790,,,,2025.396,1806.835,,,004058,1996,DOV
0,778,,715,,,,1624.625,1436.885,,,004058,1996,DOV
0,780,,775,,,,2122.615,2590.446,,,004058,1996,DOV
0,4758,,715,,,,1322.746,1241.806,,,004058,1996,DOV
1,776,,1675,,,56,3988.529,3163.98,,,004058,1997,DOV
