,tic,fyear
309,BIO,2018
310,BIO,2019
311,BIO,2020
312,BA,2011
313,BA,2012
314,BA,2013
315,BA,2014
316,BA,2015
317,BA,2016
318,BA,2017
319,BA,2018
320,BA,2019
321,BA,2020
322,RHI,2011
323,RHI,2012
324,RHI,2013
325,RHI,2014
326,RHI,2015
327,RHI,2016
328,RHI,2017
329,RHI,2018
330,RHI,2019
331,RHI,2020
332,BMY,2011
333,BMY,2012
334,BMY,2013
335,BMY,2014
336,BMY,2015
337,BMY,2016
338,BMY,2017
339,BMY,2018
340,BMY,2019
341,BMY,2020
342,BF.B,2010
343,BF.B,2011
344,BF.B,2012
345,BF.B,2013
346,BF.B,2014
347,BF.B,2015
348,BF.B,2016
349,BF.B,2017
350,BF.B,2018
351,BF.B,2019
352,CI,2011
353,CI,2012
354,CI,2013
355,CI,2014
356,CI,2015
357,CI,2016
358,CI,2017
359,CI,2018
360,CI,2019
361,CI,2020
362,CSX,2011
363,CSX,2012
364,CSX,2013
365,CSX,2014
366,CSX,2015
367,CSX,2016
368,CSX,2017
369,CSX,2018
370,CSX,2019
371,CSX,2020
372,CPB,2011
373,CPB,2012
374,CPB,2013
375,CPB,2014
376,CPB,2015
377,CPB,2016
378,CPB,2017
379,CPB,2018
380,CPB,2019
381,CPB,2020
382,STZ,2010
383,STZ,2011
384,STZ,2012
385,STZ,2013
386,STZ,2014
387,STZ,2015
388,STZ,2016
389,STZ,2017
390,STZ,2018
391,STZ,2019
392,CAH,2011
393,CAH,2012
394,CAH,2013
395,CAH,2014
396,CAH,2015
397,CAH,2016
398,CAH,2017
399,CAH,2018
400,CAH,2019
401,CAH,2020
402,CAT,2011
403,CAT,2012
404,CAT,2013
405,CAT,2014
406,CAT,2015
407,CAT,2016
408,CAT,2017
409,CAT,2018
410,CAT,2019
411,CAT,2020
412,LUMN,2011
413,LUMN,2012
414,LUMN,2013
415,LUMN,2014
416,LUMN,2015
417,LUMN,2016
418,LUMN,2017
419,LUMN,2018
420,LUMN,2019
421,LUMN,2020
422,JPM,2011
423,JPM,2012
424,JPM,2013
425,JPM,2014
426,JPM,2015
427,JPM,2016
428,JPM,2017
429,JPM,2018
430,JPM,2019
431,JPM,2020
432,CVX,2011
433,CVX,2012
434,CVX,2013
435,CVX,2014
436,CVX,2015
437,CVX,2016
438,CVX,2017
439,CVX,2018
440,CVX,2019
441,CVX,2020
442,CHD,2011
443,CHD,2012
