,tic,fyear
1512,MSI,2014
1513,MSI,2015
1514,MSI,2016
1515,MSI,2017
1516,MSI,2018
1517,MSI,2019
1518,MSI,2020
1519,VTRS,2011
1520,VTRS,2012
1521,VTRS,2013
1522,VTRS,2014
1523,VTRS,2015
1524,VTRS,2016
1525,VTRS,2017
1526,VTRS,2018
1527,VTRS,2019
1528,VTRS,2020
1529,BAC,2011
1530,BAC,2012
1531,BAC,2013
1532,BAC,2014
1533,BAC,2015
1534,BAC,2016
1535,BAC,2017
1536,BAC,2018
1537,BAC,2019
1538,BAC,2020
1539,NWL,2011
1540,NWL,2012
1541,NWL,2013
1542,NWL,2014
1543,NWL,2015
1544,NWL,2016
1545,NWL,2017
1546,NWL,2018
1547,NWL,2019
1548,NWL,2020
1549,NEM,2011
1550,NEM,2012
1551,NEM,2013
1552,NEM,2014
1553,NEM,2015
1554,NEM,2016
1555,NEM,2017
1556,NEM,2018
1557,NEM,2019
1558,NEM,2020
1559,NKE,2010
1560,NKE,2011
1561,NKE,2012
1562,NKE,2013
1563,NKE,2014
1564,NKE,2015
1565,NKE,2016
1566,NKE,2017
1567,NKE,2018
1568,NKE,2019
1569,NDSN,2011
1570,NDSN,2012
1571,NDSN,2013
1572,NDSN,2014
1573,NDSN,2015
1574,NDSN,2016
1575,NDSN,2017
1576,NDSN,2018
1577,NDSN,2019
1578,NDSN,2020
1579,NSC,2011
1580,NSC,2012
1581,NSC,2013
1582,NSC,2014
1583,NSC,2015
1584,NSC,2016
1585,NSC,2017
1586,NSC,2018
1587,NSC,2019
1588,NSC,2020
1589,ES,2011
1590,ES,2012
1591,ES,2013
1592,ES,2014
1593,ES,2015
1594,ES,2016
1595,ES,2017
1596,ES,2018
1597,ES,2019
1598,ES,2020
1599,NI,2011
1600,NI,2012
1601,NI,2013
1602,NI,2014
1603,NI,2015
1604,NI,2016
1605,NI,2017
1606,NI,2018
1607,NI,2019
1608,NI,2020
1609,XEL,2011
1610,XEL,2012
1611,XEL,2013
1612,XEL,2014
1613,XEL,2015
1614,XEL,2016
1615,XEL,2017
1616,XEL,2018
1617,XEL,2019
1618,XEL,2020
1619,NTRS,2011
1620,NTRS,2012
1621,NTRS,2013
1622,NTRS,2014
1623,NTRS,2015
1624,NTRS,2016
1625,NTRS,2017
1626,NTRS,2018
1627,NTRS,2019
1628,NTRS,2020
1629,NOC,2011
1630,NOC,2012
1631,NOC,2013
1632,NOC,2014
1633,NOC,2015
1634,NOC,2016
1635,NOC,2017
1636,NOC,2018
1637,NOC,2019
1638,NOC,2020
1639,WFC,2011
1640,WFC,2012
1641,WFC,2013
1642,WFC,2014
1643,WFC,2015
1644,WFC,2016
1645,WFC,2017
1646,WFC,2018
1647,WFC,2019
1648,WFC,2020
1649,NUE,2011
1650,NUE,2012
1651,NUE,2013
1652,NUE,2014
1653,NUE,2015
1654,NUE,2016
1655,NUE,2017
1656,NUE,2018
1657,NUE,2019
1658,NUE,2020
1659,OXY,2011
1660,OXY,2012
1661,OXY,2013
1662,OXY,2014
1663,OXY,2015
1664,OXY,2016
1665,OXY,2017
1666,OXY,2018
1667,OXY,2019
1668,OXY,2020
1669,FE,2011
1670,FE,2012
1671,FE,2013
1672,FE,2014
1673,FE,2015
1674,FE,2016
1675,FE,2017
1676,FE,2018
1677,FE,2019
1678,FE,2020
1679,OKE,2011
1680,OKE,2012
1681,OKE,2013
1682,OKE,2014
1683,OKE,2015
1684,OKE,2016
1685,OKE,2017
1686,OKE,2018
1687,OKE,2019
1688,OKE,2020
1689,PNC,2011
1690,PNC,2012
1691,PNC,2013
1692,PNC,2014
1693,PNC,2015
1694,PNC,2016
1695,PNC,2017
1696,PNC,2018
1697,PNC,2019
1698,PNC,2020
1699,PPG,2011
1700,PPG,2012
1701,PPG,2013
1702,PPG,2014
1703,PPG,2015
1704,PPG,2016
1705,PPG,2017
1706,PPG,2018
1707,PPG,2019
1708,PPG,2020
1709,PCAR,2011
1710,PCAR,2012
1711,PCAR,2013
1712,PCAR,2014
1713,PCAR,2015
1714,PCAR,2016
1715,PCAR,2017
1716,PCAR,2018
1717,PCAR,2019
1718,PCAR,2020
1719,PCG,2011
1720,PCG,2012
1721,PCG,2013
1722,PCG,2014
1723,PCG,2015
1724,PCG,2016
1725,PCG,2017
1726,PCG,2018
1727,PCG,2019
1728,PCG,2020
1729,SRE,2011
1730,SRE,2012
1731,SRE,2013
1732,SRE,2014
1733,SRE,2015
1734,SRE,2016
1735,SRE,2017
1736,SRE,2018
1737,SRE,2019
1738,SRE,2020
1739,PH,2011
1740,PH,2012
1741,PH,2013
1742,PH,2014
1743,PH,2015
1744,PH,2016
1745,PH,2017
1746,PH,2018
1747,PH,2019
1748,PH,2020
1749,PAYX,2010
1750,PAYX,2011
1751,PAYX,2012
1752,PAYX,2013
1753,PAYX,2014
1754,PAYX,2015
1755,PAYX,2016
1756,PAYX,2017
1757,PAYX,2018
1758,PAYX,2019
1759,PPL,2011
1760,PPL,2012
1761,PPL,2013
1762,PPL,2014
1763,PPL,2015
1764,PPL,2016
1765,PPL,2017
1766,PPL,2018
1767,PPL,2019
1768,PPL,2020
1769,PNR,2011
1770,PNR,2012
1771,PNR,2013
1772,PNR,2014
1773,PNR,2015
1774,PNR,2016
1775,PNR,2017
1776,PNR,2018
1777,PNR,2019
1778,PNR,2020
1779,PEP,2011
1780,PEP,2012
1781,PEP,2013
1782,PEP,2014
1783,PEP,2015
1784,PEP,2016
1785,PEP,2017
1786,PEP,2018
1787,PEP,2019
1788,PEP,2020
1789,PFE,2011
1790,PFE,2012
1791,PFE,2013
1792,PFE,2014
1793,PFE,2015
1794,PFE,2016
1795,PFE,2017
1796,PFE,2018
1797,PFE,2019
1798,PFE,2020
1799,EXC,2011
1800,EXC,2012
1801,EXC,2013
1802,EXC,2014
1803,EXC,2015
1804,EXC,2016
1805,EXC,2017
1806,EXC,2018
1807,EXC,2019
1808,EXC,2020
1809,MO,2011
1810,MO,2012
1811,MO,2013
1812,MO,2014
1813,MO,2015
1814,MO,2016
1815,MO,2017
1816,MO,2018
1817,MO,2019
1818,MO,2020
1819,COP,2011
1820,COP,2012
1821,COP,2013
1822,COP,2014
1823,COP,2015
1824,COP,2016
1825,COP,2017
1826,COP,2018
1827,COP,2019
1828,COP,2020
1829,PG,2011
1830,PG,2012
1831,PG,2013
1832,PG,2014
1833,PG,2015
1834,PG,2016
1835,PG,2017
1836,PG,2018
1837,PG,2019
1838,PG,2020
1839,PEG,2011
1840,PEG,2012
1841,PEG,2013
1842,PEG,2014
1843,PEG,2015
1844,PEG,2016
1845,PEG,2017
1846,PEG,2018
1847,PEG,2019
1848,PEG,2020
1849,PHM,2011
1850,PHM,2012
1851,PHM,2013
1852,PHM,2014
1853,PHM,2015
1854,PHM,2016
1855,PHM,2017
1856,PHM,2018
1857,PHM,2019
1858,PHM,2020
1859,RJF,2011
1860,RJF,2012
1861,RJF,2013
1862,RJF,2014
1863,RJF,2015
1864,RJF,2016
1865,RJF,2017
1866,RJF,2018
1867,RJF,2019
1868,RJF,2020
1869,ROK,2011
1870,ROK,2012
1871,ROK,2013
1872,ROK,2014
1873,ROK,2015
1874,ROK,2016
1875,ROK,2017
1876,ROK,2018
1877,ROK,2019
1878,ROK,2020
1879,ROL,2011
1880,ROL,2012
1881,ROL,2013
1882,ROL,2014
1883,ROL,2015
1884,ROL,2016
1885,ROL,2017
1886,ROL,2018
1887,ROL,2019
1888,ROL,2020
1889,ROST,2010
1890,ROST,2011
1891,ROST,2012
1892,ROST,2013
1893,ROST,2014
1894,ROST,2015
1895,ROST,2016
1896,ROST,2017
1897,ROST,2018
1898,ROST,2019
1899,ROST,2020
1900,SLB,2011
1901,SLB,2012
1902,SLB,2013
1903,SLB,2014
1904,SLB,2015
1905,SLB,2016
1906,SLB,2017
1907,SLB,2018
1908,SLB,2019
1909,SLB,2020
1910,SEE,2011
1911,SEE,2012
1912,SEE,2013
1913,SEE,2014
1914,SEE,2015
1915,SEE,2016
1916,SEE,2017
1917,SEE,2018
1918,SEE,2019
1919,SEE,2020
1920,SHW,2011
1921,SHW,2012
1922,SHW,2013
1923,SHW,2014
1924,SHW,2015
1925,SHW,2016
1926,SHW,2017
1927,SHW,2018
1928,SHW,2019
1929,SHW,2020
1930,AOS,2011
1931,AOS,2012
1932,AOS,2013
1933,AOS,2014
1934,AOS,2015
1935,AOS,2016
1936,AOS,2017
1937,AOS,2018
1938,AOS,2019
1939,AOS,2020
1940,SJM,2010
1941,SJM,2011
1942,SJM,2012
1943,SJM,2013
1944,SJM,2014
1945,SJM,2015
1946,SJM,2016
1947,SJM,2017
1948,SJM,2018
1949,SJM,2019
1950,SNA,2011
1951,SNA,2012
1952,SNA,2013
1953,SNA,2014
1954,SNA,2015
1955,SNA,2016
1956,SNA,2017
1957,SNA,2018
1958,SNA,2019
1959,SNA,2020
1960,KEY,2011
1961,KEY,2012
1962,KEY,2013
1963,KEY,2014
1964,KEY,2015
1965,KEY,2016
1966,KEY,2017
1967,KEY,2018
1968,KEY,2019
1969,KEY,2020
1970,EIX,2011
1971,EIX,2012
1972,EIX,2013
1973,EIX,2014
1974,EIX,2015
1975,EIX,2016
1976,EIX,2017
1977,EIX,2018
1978,EIX,2019
1979,EIX,2020
1980,SO,2011
1981,SO,2012
1982,SO,2013
1983,SO,2014
1984,SO,2015
1985,SO,2016
1986,SO,2017
1987,SO,2018
1988,SO,2019
1989,SO,2020
1990,LUV,2011
1991,LUV,2012
1992,LUV,2013
1993,LUV,2014
1994,LUV,2015
1995,LUV,2016
1996,LUV,2017
1997,LUV,2018
1998,LUV,2019
1999,LUV,2020
2000,T,2011
2001,T,2012
2002,T,2013
2003,T,2014
2004,T,2015
2005,T,2016
2006,T,2017
2007,T,2018
2008,T,2019
2009,T,2020
2010,SWK,2011
2011,SWK,2012
2012,SWK,2013
2013,SWK,2014
2014,SWK,2015
2015,SWK,2016
2016,SWK,2017
2017,SWK,2018
2018,SWK,2019
2019,SWK,2020
2020,STT,2011
2021,STT,2012
2022,STT,2013
2023,STT,2014
2024,STT,2015
2025,STT,2016
2026,STT,2017
2027,STT,2018
2028,STT,2019
2029,STT,2020
2030,PSA,2011
2031,PSA,2012
2032,PSA,2013
2033,PSA,2014
2034,PSA,2015
2035,PSA,2016
2036,PSA,2017
2037,PSA,2018
2038,PSA,2019
2039,PSA,2020
2040,SYK,2011
2041,SYK,2012
2042,SYK,2013
2043,SYK,2014
2044,SYK,2015
2045,SYK,2016
2046,SYK,2017
2047,SYK,2018
2048,SYK,2019
2049,SYK,2020
2050,SYY,2011
2051,SYY,2012
2052,SYY,2013
2053,SYY,2014
2054,SYY,2015
2055,SYY,2016
2056,SYY,2017
2057,SYY,2018
2058,SYY,2019
2059,SYY,2020
2060,TFX,2011
2061,TFX,2012
2062,TFX,2013
2063,TFX,2014
2064,TFX,2015
2065,TFX,2016
2066,TFX,2017
2067,TFX,2018
2068,TFX,2019
2069,TFX,2020
2070,TER,2011
2071,TER,2012
2072,TER,2013
2073,TER,2014
2074,TER,2015
2075,TER,2016
2076,TER,2017
2077,TER,2018
2078,TER,2019
2079,TER,2020
2080,TXN,2011
2081,TXN,2012
2082,TXN,2013
2083,TXN,2014
2084,TXN,2015
2085,TXN,2016
2086,TXN,2017
2087,TXN,2018
2088,TXN,2019
2089,TXN,2020
2090,TXT,2011
2091,TXT,2012
2092,TXT,2013
2093,TXT,2014
2094,TXT,2015
2095,TXT,2016
2096,TXT,2017
2097,TXT,2018
2098,TXT,2019
2099,TXT,2020
2100,TMO,2011
2101,TMO,2012
2102,TMO,2013
2103,TMO,2014
2104,TMO,2015
2105,TMO,2016
2106,TMO,2017
2107,TMO,2018
2108,TMO,2019
2109,TMO,2020
2110,GL,2011
2111,GL,2012
2112,GL,2013
2113,GL,2014
2114,GL,2015
2115,GL,2016
2116,GL,2017
2117,GL,2018
2118,GL,2019
2119,GL,2020
2120,TYL,2011
2121,TYL,2012
2122,TYL,2013
2123,TYL,2014
2124,TYL,2015
2125,TYL,2016
2126,TYL,2017
2127,TYL,2018
2128,TYL,2019
2129,TYL,2020
2130,TSN,2011
2131,TSN,2012
2132,TSN,2013
2133,TSN,2014
2134,TSN,2015
2135,TSN,2016
2136,TSN,2017
2137,TSN,2018
2138,TSN,2019
2139,TSN,2020
2140,UAL,2011
2141,UAL,2012
2142,UAL,2013
2143,UAL,2014
2144,UAL,2015
2145,UAL,2016
2146,UAL,2017
2147,UAL,2018
2148,UAL,2019
2149,UAL,2020
2150,AEE,2011
2151,AEE,2012
2152,AEE,2013
2153,AEE,2014
2154,AEE,2015
2155,AEE,2016
2156,AEE,2017
2157,AEE,2018
2158,AEE,2019
2159,AEE,2020
2160,UNP,2011
2161,UNP,2012
2162,UNP,2013
2163,UNP,2014
2164,UNP,2015
2165,UNP,2016
2166,UNP,2017
2167,UNP,2018
2168,UNP,2019
2169,UNP,2020
2170,UDR,2011
2171,UDR,2012
2172,UDR,2013
2173,UDR,2014
2174,UDR,2015
2175,UDR,2016
2176,UDR,2017
2177,UDR,2018
2178,UDR,2019
2179,UDR,2020
2180,UNH,2011
2181,UNH,2012
2182,UNH,2013
2183,UNH,2014
2184,UNH,2015
2185,UNH,2016
2186,UNH,2017
2187,UNH,2018
2188,UNH,2019
2189,UNH,2020
2190,UPS,2011
2191,UPS,2012
2192,UPS,2013
2193,UPS,2014
2194,UPS,2015
2195,UPS,2016
2196,UPS,2017
2197,UPS,2018
2198,UPS,2019
2199,UPS,2020
2200,RTX,2011
2201,RTX,2012
2202,RTX,2013
2203,RTX,2014
2204,RTX,2015
2205,RTX,2016
2206,RTX,2017
2207,RTX,2018
2208,RTX,2019
2209,RTX,2020
2210,UHS,2011
2211,UHS,2012
2212,UHS,2013
2213,UHS,2014
2214,UHS,2015
2215,UHS,2016
2216,UHS,2017
2217,UHS,2018
2218,UHS,2019
2219,UHS,2020
2220,VFC,2011
2221,VFC,2012
2222,VFC,2013
2223,VFC,2014
2224,VFC,2015
2225,VFC,2016
2226,VFC,2017
2227,VFC,2018
2228,VFC,2019
2229,VMC,2011
2230,VMC,2012
2231,VMC,2013
2232,VMC,2014
2233,VMC,2015
2234,VMC,2016
2235,VMC,2017
2236,VMC,2018
2237,VMC,2019
2238,VMC,2020
2239,WMT,2010
2240,WMT,2011
2241,WMT,2012
2242,WMT,2013
2243,WMT,2014
2244,WMT,2015
2245,WMT,2016
2246,WMT,2017
2247,WMT,2018
2248,WMT,2019
2249,WMT,2020
2250,WBA,2011
2251,WBA,2012
2252,WBA,2013
2253,WBA,2014
2254,WBA,2015
2255,WBA,2016
2256,WBA,2017
2257,WBA,2018
2258,WBA,2019
2259,WBA,2020
2260,WST,2011
2261,WST,2012
2262,WST,2013
2263,WST,2014
2264,WST,2015
2265,WST,2016
2266,WST,2017
2267,WST,2018
2268,WST,2019
2269,WST,2020
2270,WDC,2011
2271,WDC,2012
2272,WDC,2013
2273,WDC,2014
2274,WDC,2015
2275,WDC,2016
2276,WDC,2017
2277,WDC,2018
2278,WDC,2019
2279,WDC,2020
2280,WY,2011
2281,WY,2012
2282,WY,2013
2283,WY,2014
2284,WY,2015
2285,WY,2016
2286,WY,2017
2287,WY,2018
2288,WY,2019
2289,WY,2020
2290,WHR,2011
2291,WHR,2012
2292,WHR,2013
2293,WHR,2014
2294,WHR,2015
2295,WHR,2016
2296,WHR,2017
2297,WHR,2018
2298,WHR,2019
2299,WHR,2020
2300,WMB,2011
2301,WMB,2012
2302,WMB,2013
2303,WMB,2014
2304,WMB,2015
2305,WMB,2016
2306,WMB,2017
2307,WMB,2018
2308,WMB,2019
2309,WMB,2020
2310,WEC,2011
2311,WEC,2012
2312,WEC,2013
2313,WEC,2014
2314,WEC,2015
2315,WEC,2016
2316,WEC,2017
2317,WEC,2018
2318,WEC,2019
2319,WEC,2020
2320,LNT,2011
2321,LNT,2012
2322,LNT,2013
2323,LNT,2014
2324,LNT,2015
2325,LNT,2016
2326,LNT,2017
2327,LNT,2018
2328,LNT,2019
2329,LNT,2020
2330,TJX,2010
2331,TJX,2011
2332,TJX,2012
2333,TJX,2013
2334,TJX,2014
2335,TJX,2015
2336,TJX,2016
2337,TJX,2017
2338,TJX,2018
2339,TJX,2019
2340,TJX,2020
2341,ZION,2011
2342,ZION,2012
2343,ZION,2013
2344,ZION,2014
2345,ZION,2015
2346,ZION,2016
2347,ZION,2017
2348,ZION,2018
2349,ZION,2019
2350,ZION,2020
2351,JKHY,2011
2352,JKHY,2012
2353,JKHY,2013
2354,JKHY,2014
2355,JKHY,2015
2356,JKHY,2016
2357,JKHY,2017
2358,JKHY,2018
2359,JKHY,2019
2360,JKHY,2020
2361,TFC,2011
2362,TFC,2012
2363,TFC,2013
2364,TFC,2014
2365,TFC,2015
2366,TFC,2016
2367,TFC,2017
2368,TFC,2018
2369,TFC,2019
2370,TFC,2020
2371,MS,2011
2372,MS,2012
2373,MS,2013
2374,MS,2014
2375,MS,2015
2376,MS,2016
2377,MS,2017
2378,MS,2018
2379,MS,2019
2380,MS,2020
2381,TROW,2011
2382,TROW,2012
2383,TROW,2013
2384,TROW,2014
2385,TROW,2015
2386,TROW,2016
2387,TROW,2017
2388,TROW,2018
2389,TROW,2019
2390,TROW,2020
2391,MSFT,2011
2392,MSFT,2012
2393,MSFT,2013
2394,MSFT,2014
2395,MSFT,2015
2396,MSFT,2016
2397,MSFT,2017
2398,MSFT,2018
2399,MSFT,2019
2400,MSFT,2020
2401,ORCL,2010
2402,ORCL,2011
2403,ORCL,2012
2404,ORCL,2013
2405,ORCL,2014
2406,ORCL,2015
2407,ORCL,2016
2408,ORCL,2017
2409,ORCL,2018
2410,ORCL,2019
2411,IT,2011
2412,IT,2012
2413,IT,2013
2414,IT,2014
2415,IT,2015
2416,IT,2016
2417,IT,2017
2418,IT,2018
2419,IT,2019
2420,IT,2020
2421,NVR,2011
2422,NVR,2012
2423,NVR,2013
2424,NVR,2014
2425,NVR,2015
2426,NVR,2016
2427,NVR,2017
2428,NVR,2018
2429,NVR,2019
2430,NVR,2020
2431,ADBE,2011
2432,ADBE,2012
2433,ADBE,2013
2434,ADBE,2014
2435,ADBE,2015
2436,ADBE,2016
2437,ADBE,2017
2438,ADBE,2018
2439,ADBE,2019
2440,ADBE,2020
2441,FISV,2011
2442,FISV,2012
2443,FISV,2013
2444,FISV,2014
2445,FISV,2015
2446,FISV,2016
2447,FISV,2017
2448,FISV,2018
2449,FISV,2019
2450,FISV,2020
2451,PEAK,2011
2452,PEAK,2012
2453,PEAK,2013
2454,PEAK,2014
2455,PEAK,2015
2456,PEAK,2016
2457,PEAK,2017
2458,PEAK,2018
2459,PEAK,2019
2460,PEAK,2020
2461,PGR,2011
2462,PGR,2012
2463,PGR,2013
2464,PGR,2014
2465,PGR,2015
2466,PGR,2016
2467,PGR,2017
2468,PGR,2018
2469,PGR,2019
2470,PGR,2020
2471,CDNS,2011
2472,CDNS,2012
2473,CDNS,2013
2474,CDNS,2014
2475,CDNS,2015
2476,CDNS,2016
2477,CDNS,2017
2478,CDNS,2018
2479,CDNS,2019
2480,CDNS,2020
2481,CCL,2011
2482,CCL,2012
2483,CCL,2013
2484,CCL,2014
2485,CCL,2015
2486,CCL,2016
2487,CCL,2017
2488,CCL,2018
2489,CCL,2019
2490,CCL,2020
2491,XRAY,2011
2492,XRAY,2012
2493,XRAY,2013
2494,XRAY,2014
2495,XRAY,2015
2496,XRAY,2016
2497,XRAY,2017
2498,XRAY,2018
2499,XRAY,2019
2500,XRAY,2020
2501,PARA,2011
2502,PARA,2012
2503,PARA,2013
2504,PARA,2014
2505,PARA,2015
2506,PARA,2016
2507,PARA,2017
2508,PARA,2018
2509,PARA,2019
2510,PARA,2020
2511,ZTS,2011
2512,ZTS,2012
2513,ZTS,2013
2514,ZTS,2014
2515,ZTS,2015
2516,ZTS,2016
2517,ZTS,2017
2518,ZTS,2018
2519,ZTS,2019
2520,ZTS,2020
2521,SCHW,2011
2522,SCHW,2012
2523,SCHW,2013
2524,SCHW,2014
2525,SCHW,2015
2526,SCHW,2016
2527,SCHW,2017
2528,SCHW,2018
2529,SCHW,2019
2530,SCHW,2020
2531,FAST,2011
2532,FAST,2012
2533,FAST,2013
2534,FAST,2014
2535,FAST,2015
2536,FAST,2016
2537,FAST,2017
2538,FAST,2018
2539,FAST,2019
2540,FAST,2020
2541,FRC,2011
2542,FRC,2012
2543,FRC,2013
2544,FRC,2014
2545,FRC,2015
2546,FRC,2016
2547,FRC,2017
2548,FRC,2018
2549,FRC,2019
2550,FRC,2020
2551,APH,2011
2552,APH,2012
2553,APH,2013
2554,APH,2014
2555,APH,2015
2556,APH,2016
2557,APH,2017
2558,APH,2018
2559,APH,2019
2560,APH,2020
2561,PXD,2011
2562,PXD,2012
2563,PXD,2013
2564,PXD,2014
2565,PXD,2015
2566,PXD,2016
2567,PXD,2017
2568,PXD,2018
2569,PXD,2019
2570,PXD,2020
2571,MGM,2011
2572,MGM,2012
2573,MGM,2013
2574,MGM,2014
2575,MGM,2015
2576,MGM,2016
2577,MGM,2017
2578,MGM,2018
2579,MGM,2019
2580,MGM,2020
2581,WM,2011
2582,WM,2012
2583,WM,2013
2584,WM,2014
2585,WM,2015
2586,WM,2016
2587,WM,2017
2588,WM,2018
2589,WM,2019
2590,WM,2020
2591,FCX,2011
2592,FCX,2012
2593,FCX,2013
2594,FCX,2014
2595,FCX,2015
2596,FCX,2016
2597,FCX,2017
2598,FCX,2018
2599,FCX,2019
2600,FCX,2020
2601,WRB,2011
2602,WRB,2012
2603,WRB,2013
2604,WRB,2014
2605,WRB,2015
2606,WRB,2016
2607,WRB,2017
2608,WRB,2018
2609,WRB,2019
2610,WRB,2020
2611,CINF,2011
2612,CINF,2012
2613,CINF,2013
2614,CINF,2014
2615,CINF,2015
2616,CINF,2016
2617,CINF,2017
2618,CINF,2018
2619,CINF,2019
2620,CINF,2020
2621,DVN,2011
2622,DVN,2012
2623,DVN,2013
2624,DVN,2014
2625,DVN,2015
2626,DVN,2016
2627,DVN,2017
2628,DVN,2018
2629,DVN,2019
2630,DVN,2020
2631,LH,2011
2632,LH,2012
2633,LH,2013
2634,LH,2014
2635,LH,2015
2636,LH,2016
2637,LH,2017
2638,LH,2018
2639,LH,2019
2640,LH,2020
2641,VLO,2011
2642,VLO,2012
2643,VLO,2013
2644,VLO,2014
2645,VLO,2015
2646,VLO,2016
2647,VLO,2017
2648,VLO,2018
2649,VLO,2019
2650,VLO,2020
2651,IEX,2011
2652,IEX,2012
2653,IEX,2013
2654,IEX,2014
2655,IEX,2015
2656,IEX,2016
2657,IEX,2017
2658,IEX,2018
2659,IEX,2019
2660,IEX,2020
2661,TECH,2011
2662,TECH,2012
2663,TECH,2013
2664,TECH,2014
2665,TECH,2015
2666,TECH,2016
2667,TECH,2017
2668,TECH,2018
2669,TECH,2019
2670,TECH,2020
2671,BRO,2011
2672,BRO,2012
2673,BRO,2013
2674,BRO,2014
2675,BRO,2015
2676,BRO,2016
2677,BRO,2017
2678,BRO,2018
2679,BRO,2019
2680,BRO,2020
2681,GEN,2010
2682,GEN,2011
2683,GEN,2012
2684,GEN,2013
2685,GEN,2014
2686,GEN,2015
2687,GEN,2016
2688,GEN,2017
2689,GEN,2018
2690,GEN,2019
2691,ABBV,2011
2692,ABBV,2012
2693,ABBV,2013
2694,ABBV,2014
2695,ABBV,2015
2696,ABBV,2016
2697,ABBV,2017
2698,ABBV,2018
2699,ABBV,2019
2700,ABBV,2020
2701,EOG,2011
2702,EOG,2012
2703,EOG,2013
2704,EOG,2014
2705,EOG,2015
2706,EOG,2016
2707,EOG,2017
2708,EOG,2018
2709,EOG,2019
2710,EOG,2020
2711,EA,2010
2712,EA,2011
2713,EA,2012
2714,EA,2013
2715,EA,2014
2716,EA,2015
2717,EA,2016
2718,EA,2017
2719,EA,2018
2720,EA,2019
2721,TMUS,2014
2722,TMUS,2015
2723,TMUS,2016
2724,TMUS,2017
2725,TMUS,2018
2726,TMUS,2019
2727,TMUS,2020
2728,IQV,2012
2729,IQV,2013
2730,IQV,2014
2731,IQV,2015
2732,IQV,2016
2733,IQV,2017
2734,IQV,2018
2735,IQV,2019
2736,IQV,2020
2737,NWSA,2012
2738,NWSA,2013
2739,NWSA,2014
2740,NWSA,2015
2741,NWSA,2016
2742,NWSA,2017
2743,NWSA,2018
2744,NWSA,2019
2745,NWSA,2020
2746,PTC,2011
2747,PTC,2012
2748,PTC,2013
2749,PTC,2014
2750,PTC,2015
2751,PTC,2016
2752,PTC,2017
2753,PTC,2018
2754,PTC,2019
2755,PTC,2020
2756,PAYC,2013
2757,PAYC,2014
2758,PAYC,2015
2759,PAYC,2016
2760,PAYC,2017
2761,PAYC,2018
2762,PAYC,2019
2763,PAYC,2020
2764,CTLT,2013
2765,CTLT,2014
2766,CTLT,2015
2767,CTLT,2016
2768,CTLT,2017
2769,CTLT,2018
2770,CTLT,2019
2771,CTLT,2020
2772,KEYS,2013
2773,KEYS,2014
2774,KEYS,2015
2775,KEYS,2016
2776,KEYS,2017
2777,KEYS,2018
2778,KEYS,2019
2779,KEYS,2020
2780,CTRA,2011
2781,CTRA,2012
2782,CTRA,2013
2783,CTRA,2014
2784,CTRA,2015
2785,CTRA,2016
2786,CTRA,2017
2787,CTRA,2018
2788,CTRA,2019
2789,CTRA,2020
2790,SYF,2013
2791,SYF,2014
2792,SYF,2015
2793,SYF,2016
2794,SYF,2017
2795,SYF,2018
2796,SYF,2019
2797,SYF,2020
2798,ANET,2014
2799,ANET,2015
2800,ANET,2016
2801,ANET,2017
2802,ANET,2018
2803,ANET,2019
2804,ANET,2020
2805,CSCO,2011
2806,CSCO,2012
2807,CSCO,2013
2808,CSCO,2014
2809,CSCO,2015
2810,CSCO,2016
2811,CSCO,2017
2812,CSCO,2018
2813,CSCO,2019
2814,CSCO,2020
2815,HOLX,2011
2816,HOLX,2012
2817,HOLX,2013
2818,HOLX,2014
2819,HOLX,2015
2820,HOLX,2016
2821,HOLX,2017
2822,HOLX,2018
2823,HOLX,2019
2824,HOLX,2020
2825,CZR,2015
2826,CZR,2016
2827,CZR,2017
2828,CZR,2018
2829,CZR,2019
2830,CZR,2020
2831,CFG,2013
2832,CFG,2014
2833,CFG,2015
2834,CFG,2016
2835,CFG,2017
2836,CFG,2018
2837,CFG,2019
2838,CFG,2020
2839,HCA,2011
2840,HCA,2012
2841,HCA,2013
2842,HCA,2014
2843,HCA,2015
2844,HCA,2016
2845,HCA,2017
2846,HCA,2018
2847,HCA,2019
2848,HCA,2020
2849,TRMB,2011
2850,TRMB,2012
2851,TRMB,2013
2852,TRMB,2014
2853,TRMB,2015
2854,TRMB,2016
2855,TRMB,2017
2856,TRMB,2018
2857,TRMB,2019
2858,TRMB,2020
2859,SEDG,2014
2860,SEDG,2015
2861,SEDG,2016
2862,SEDG,2017
2863,SEDG,2018
2864,SEDG,2019
2865,SEDG,2020
2866,ETSY,2014
2867,ETSY,2015
2868,ETSY,2016
2869,ETSY,2017
2870,ETSY,2018
2871,ETSY,2019
2872,ETSY,2020
2873,CDAY,2017
2874,CDAY,2018
2875,CDAY,2019
2876,CDAY,2020
2877,AZO,2011
2878,AZO,2012
2879,AZO,2013
2880,AZO,2014
2881,AZO,2015
2882,AZO,2016
2883,AZO,2017
2884,AZO,2018
2885,AZO,2019
2886,AZO,2020
2887,REGN,2011
2888,REGN,2012
2889,REGN,2013
2890,REGN,2014
2891,REGN,2015
2892,REGN,2016
2893,REGN,2017
2894,REGN,2018
2895,REGN,2019
2896,REGN,2020
2897,IDXX,2011
2898,IDXX,2012
2899,IDXX,2013
2900,IDXX,2014
2901,IDXX,2015
2902,IDXX,2016
2903,IDXX,2017
2904,IDXX,2018
2905,IDXX,2019
