,GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,SIZE_CATEGORY,signature_index
21,1078,ABT,80.321,28.787,0.0,42.0,0.0,0.0,SP,00282410,ABBOTT LABORATORIES,2011,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,88302.4112,Big,758db11726b909314d838c3fe934f6f5
22,1078,ABT,242.96,0.0,0.0,130.0,112.96,0.0,SP,00282410,ABBOTT LABORATORIES,2012,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,103271.6885,Huge,ba553669432e3b4fc551f51cdaeac051
23,1078,ABT,269.971,24.992,0.0,132.0,112.979,0.0,SP,00282410,ABBOTT LABORATORIES,2013,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,59338.5963,Big,150f32c5f8999a861d5034190ce7fc90
24,1078,ABT,291.913,25.0,0.0,132.0,134.913,0.0,SP,00282410,ABBOTT LABORATORIES,2014,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,67891.7357,Big,14aae6065826e2755c375dff4ef28ef6
25,1078,ABT,286.916,20.0,0.0,132.0,134.916,0.0,SP,00282410,ABBOTT LABORATORIES,2015,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,66137.3852,Big,021126359ee5504a4b9b85f1cc3629a0
26,1078,ABT,306.985,25.0,0.0,132.0,149.985,0.0,SP,00282410,ABBOTT LABORATORIES,2016,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,56572.8983,Big,357aae774df23d0f07af638e7a0758e5
27,1078,ABT,254.939,0.0,0.0,105.0,149.939,0.0,SP,00282410,ABBOTT LABORATORIES,2017,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,99507.3661,Big,650223213649774748b1803059994c33
28,1078,ABT,300.977,0.0,0.0,126.0,174.977,0.0,SP,00282410,ABBOTT LABORATORIES,2018,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,126983.9223,Huge,23aab2a0740350a9fa4c4849bca0a7c6
29,1078,ABT,300.91,0.0,0.0,126.0,174.91,0.0,SP,00282410,ABBOTT LABORATORIES,2019,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,153091.0106,Huge,b90ea41d143726dde5b9d93d8ba2614d
30,1161,AMD,298.531,0.0,0.0,71.0,227.531,0.0,SP,00790310,ADVANCED MICRO DEVICES,2010,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,5586.94,Medium,42256fca0e065a2a643cd3f8a5abc1af
31,1161,AMD,304.891,0.0,0.0,66.2,238.691,0.0,SP,00790310,ADVANCED MICRO DEVICES,2011,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,3769.2,Medium,392cdfbbc2ffd265dd30efc3d43b951d
32,1161,AMD,135.67,0.0,0.0,21.667,114.003,0.0,SP,00790310,ADVANCED MICRO DEVICES,2012,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,1711.2,Tiny,ea2259f570c6b61bd71972030b38a3f5
33,1161,AMD,221.107,0.0,0.0,54.167,166.94,0.0,SP,00790310,ADVANCED MICRO DEVICES,2013,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,2805.75,Medium,a034bd1c96b677609a6dbff1dbd109c7
34,1161,AMD,253.795,0.0,0.0,71.667,182.128,0.0,SP,00790310,ADVANCED MICRO DEVICES,2014,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,2071.92,Medium,9dc12a50e8206cac8bef2bbb61b3e5da
35,1161,AMD,239.26,0.0,0.0,75.0,164.26,0.0,SP,00790310,ADVANCED MICRO DEVICES,2015,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,2273.04,Medium,8c444fe27c31aae4b21671bac9e350d3
36,1161,AMD,273.197,0.0,0.0,75.0,198.197,0.0,SP,00790310,ADVANCED MICRO DEVICES,2016,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,10602.9,Big,f44549531a266795396b89d4a47670e9
37,1161,AMD,169.826,0.0,0.0,17.976,151.85,0.0,SP,00790310,ADVANCED MICRO DEVICES,2017,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,9940.76,Medium,6602b77c9233d608bee1e0ef777ceabe
38,1161,AMD,316.678,0.0,0.0,118.297,198.381,0.0,SP,00790310,ADVANCED MICRO DEVICES,2018,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,18552.3,Big,1ac08bcc3cb4d759c15502a0b6b0cc3b
39,1161,AMD,318.106,0.0,0.0,134.396,183.71,0.0,SP,00790310,ADVANCED MICRO DEVICES,2019,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,53656.2,Big,e88dad8c9de691c6a41429b141b58437
40,1209,APD,211.825,2.0,0.0,109.75,100.075,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2010,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,17707.1645,Big,1e536b84ccc752d63d8d25270fd5b67d
41,1209,APD,200.068,2.0,0.0,98.0,100.068,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2011,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,16051.8285,Big,68d24601410ef38964be827a5b322117
42,1209,APD,229.074,3.0,0.0,106.0,120.074,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2012,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,17571.7652,Big,ae3e49db564d844237b14c99afe18980
43,1209,APD,50.06,0.0,0.0,0.0,50.06,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2013,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,22505.346,Big,92d36142eedb419a0735857491cc3f2b
44,1209,APD,260.467,0.465,0.0,140.0,120.002,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2014,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,27798.507,Big,1760335e7bc944b653e5dc2d3d50c4f0
45,1209,APD,242.074,0.0,0.0,122.0,120.074,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2015,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,27475.5012,Big,23a6a4f49b7cbb2b8c85ef5b535c9087
46,1209,APD,257.331,0.0,0.0,137.25,120.081,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2016,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,32676.5493,Big,bde3c5cae3c0387dbf9aacd6674f3e34
47,1209,APD,250.34,0.0,0.0,130.25,120.09,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2017,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,33018.2821,Big,bbe48d782b36fb0fec33dae4a5c6d5a1
48,1209,APD,280.162,10.0,0.0,120.0,150.162,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2018,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,36670.1478,Big,c295d430d541e3463df1ebb8e7765b2d
49,1209,APD,280.14,10.0,0.0,120.0,150.14,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2019,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,48901.2719,Big,1e2cd23c19397fedb68fb90f1649bba2
50,1230,ALK,91.423,6.073,0.0,50.582,35.968,0.0,SP,01165910,ALASKA AIR GROUP INC,2010,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,2036.5316,Medium,0b1d0e81d50baf4afd9a7cbb20a8361f
