,Unnamed: 0,total_director_comp,year,mkvalt,size_category,signature_index,net_income,num_employees,debt_to_equity,assets_in_place,capex_by_assets,return_on_equity
8207,8207,1567.118,2012,9.455084940356997,Medium,6108b704f3716e1ea5009d8c2171ecc6,,2.3487050286075988,11.18013986013986,0.0136669918897493,,
8208,8208,1567.118,2012,9.455084940356997,Medium,6108b704f3716e1ea5009d8c2171ecc6,,2.3487050286075988,11.18013986013986,0.0136669918897493,,
8209,8209,1567.118,2012,9.455084940356997,Medium,6108b704f3716e1ea5009d8c2171ecc6,,2.3487050286075988,11.18013986013986,0.0136669918897493,,
8210,8210,1567.118,2012,9.455084940356997,Medium,5e8342d08458cdf74c25e14c46562038,,2.3487050286075988,11.18013986013986,0.0136669918897493,,
8211,8211,1567.118,2012,9.455084940356997,Medium,5e8342d08458cdf74c25e14c46562038,,2.3487050286075988,11.18013986013986,0.0136669918897493,,
8212,8212,1567.118,2012,9.455084940356997,Medium,5e8342d08458cdf74c25e14c46562038,,2.3487050286075988,11.18013986013986,0.0136669918897493,,
8213,8213,1567.118,2012,9.455084940356997,Medium,5e8342d08458cdf74c25e14c46562038,,2.3487050286075988,11.18013986013986,0.0136669918897493,,
8214,8214,1567.118,2013,10.003476583063495,Medium,9af5d2c8e3b46422d9938d2484d328fd,,2.4104524638630527,11.996587030716723,0.0139865359067365,,
8215,8215,1567.118,2013,10.003476583063495,Medium,9af5d2c8e3b46422d9938d2484d328fd,,2.4104524638630527,11.996587030716723,0.0139865359067365,,
8216,8216,1567.118,2013,10.003476583063495,Medium,9af5d2c8e3b46422d9938d2484d328fd,,2.4104524638630527,11.996587030716723,0.0139865359067365,,
8217,8217,1567.118,2013,10.003476583063495,Medium,9af5d2c8e3b46422d9938d2484d328fd,,2.4104524638630527,11.996587030716723,0.0139865359067365,,
8218,8218,1567.118,2013,10.003476583063495,Medium,94de69ade067d31a7d34395fd7ee51bc,,2.4104524638630527,11.996587030716723,0.0139865359067365,,
8219,8219,1567.118,2013,10.003476583063495,Medium,94de69ade067d31a7d34395fd7ee51bc,,2.4104524638630527,11.996587030716723,0.0139865359067365,,
8220,8220,1567.118,2013,10.003476583063495,Medium,94de69ade067d31a7d34395fd7ee51bc,,2.4104524638630527,11.996587030716723,0.0139865359067365,,
8221,8221,1567.118,2013,10.003476583063495,Medium,94de69ade067d31a7d34395fd7ee51bc,,2.4104524638630527,11.996587030716723,0.0139865359067365,,
8222,8222,1567.118,2014,10.094781135892031,Medium,0113eb916436573b3790f620c1630e74,,2.504300696894635,13.750219973603167,0.0144957655738556,,
8223,8223,1567.118,2014,10.094781135892031,Medium,0113eb916436573b3790f620c1630e74,,2.504300696894635,13.750219973603167,0.0144957655738556,,
8224,8224,1567.118,2014,10.094781135892031,Medium,0113eb916436573b3790f620c1630e74,,2.504300696894635,13.750219973603167,0.0144957655738556,,
8225,8225,1567.118,2014,10.094781135892031,Medium,0113eb916436573b3790f620c1630e74,,2.504300696894635,13.750219973603167,0.0144957655738556,,
8226,8226,1567.118,2014,10.094781135892031,Medium,164122106fbfcc43e847a12e46c501f2,,2.504300696894635,13.750219973603167,0.0144957655738556,,
8227,8227,1567.118,2014,10.094781135892031,Medium,164122106fbfcc43e847a12e46c501f2,,2.504300696894635,13.750219973603167,0.0144957655738556,,
8228,8228,1567.118,2014,10.094781135892031,Medium,164122106fbfcc43e847a12e46c501f2,,2.504300696894635,13.750219973603167,0.0144957655738556,,
8229,8229,1567.118,2014,10.094781135892031,Medium,164122106fbfcc43e847a12e46c501f2,,2.504300696894635,13.750219973603167,0.0144957655738556,,
8230,8230,1567.118,2015,9.809250051705947,Medium,bd4f0ba24ce20e14e87827010ffc8e38,,2.4881513799528894,16.521484375,0.0138681385568835,,
8231,8231,1567.118,2015,9.809250051705947,Medium,bd4f0ba24ce20e14e87827010ffc8e38,,2.4881513799528894,16.521484375,0.0138681385568835,,
8232,8232,1567.118,2015,9.809250051705947,Medium,bd4f0ba24ce20e14e87827010ffc8e38,,2.4881513799528894,16.521484375,0.0138681385568835,,
8233,8233,1567.118,2015,9.809250051705947,Medium,bd4f0ba24ce20e14e87827010ffc8e38,,2.4881513799528894,16.521484375,0.0138681385568835,,
8234,8234,1567.118,2015,9.809250051705947,Medium,33d1d0a52ef1cb67470bd7b66938aafa,,2.4881513799528894,16.521484375,0.0138681385568835,,
8235,8235,1567.118,2015,9.809250051705947,Medium,33d1d0a52ef1cb67470bd7b66938aafa,,2.4881513799528894,16.521484375,0.0138681385568835,,
8236,8236,1567.118,2015,9.809250051705947,Medium,33d1d0a52ef1cb67470bd7b66938aafa,,2.4881513799528894,16.521484375,0.0138681385568835,,
8237,8237,1567.118,2015,9.809250051705947,Medium,33d1d0a52ef1cb67470bd7b66938aafa,,2.4881513799528894,16.521484375,0.0138681385568835,,
8238,8238,1567.118,2016,9.7508650444594,Medium,57f947c8e3e06c302da6fb983486638c,,2.5021733846867185,17.1719596258001,0.0138901955513742,,
8239,8239,1567.118,2016,9.7508650444594,Medium,57f947c8e3e06c302da6fb983486638c,,2.5021733846867185,17.1719596258001,0.0138901955513742,,
8240,8240,1567.118,2016,9.7508650444594,Medium,57f947c8e3e06c302da6fb983486638c,,2.5021733846867185,17.1719596258001,0.0138901955513742,,
8241,8241,1567.118,2016,9.7508650444594,Medium,57f947c8e3e06c302da6fb983486638c,,2.5021733846867185,17.1719596258001,0.0138901955513742,,
8242,8242,1567.118,2016,9.7508650444594,Medium,e202ce6ec4fda76103b19da7f5449f42,,2.5021733846867185,17.1719596258001,0.0138901955513742,,
8243,8243,1567.118,2016,9.7508650444594,Medium,e202ce6ec4fda76103b19da7f5449f42,,2.5021733846867185,17.1719596258001,0.0138901955513742,,
8244,8244,1567.118,2016,9.7508650444594,Medium,e202ce6ec4fda76103b19da7f5449f42,,2.5021733846867185,17.1719596258001,0.0138901955513742,,
8245,8245,1567.118,2016,9.7508650444594,Medium,e202ce6ec4fda76103b19da7f5449f42,,2.5021733846867185,17.1719596258001,0.0138901955513742,,
8246,8246,1567.118,2017,10.1206224278589,Medium,0f630d0ced42373460ca9f14185c4c85,,2.5649493574615367,18.97422751835943,0.0159898721635865,,
