,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,SIZE_CATEGORY,signature_index
22,1078,ABT,CEO,1900.0,0.0,9429.176,2057.0,869.713,1900.0,57.0,18955.889,2012,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,103271.6885,Tiny,b3156b3400d6d13ddcea62c1821c0e18
23,1078,ABT,CEO,1900.0,0.0,7337.4,7062.22,1079.895,1900.0,58.0,20529.515,2013,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,59338.5963,Tiny,79117261ed411f733c14240848326242
24,1078,ABT,CEO,1973.077,0.0,4649.999,4649.997,1106.436,1973.077,59.0,16179.509,2014,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,67891.7357,Tiny,b1772bdb383c68a0698995c133334369
25,1078,ABT,CEO,1900.0,0.0,6247.971,6249.997,1091.506,1900.0,60.0,18789.474,2015,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,66137.3852,Tiny,b9fc56ad058087066cf047d1b3c61b05
26,1078,ABT,CEO,1900.0,0.0,5249.288,5249.999,825.589,1900.0,61.0,16424.876,2016,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,56572.8983,Tiny,d30e846c635a1c6a37f19fa5093027bc
27,1078,ABT,CEO,1900.0,0.0,4099.523,4099.998,1020.596,1900.0,62.0,15620.117,2017,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,99507.3661,Tiny,8ddc7eb53f1f7235e147dabb0cc4c472
28,1078,ABT,CEO,1900.0,0.0,7499.367,7499.996,1193.342,1900.0,63.0,22872.393,2018,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,126983.9223,Tiny,bdb42d9990efd19e00bb153771cc71e5
29,1078,ABT,CEO,1900.0,0.0,7562.448,7562.499,664.409,1900.0,64.0,22094.981,2019,1999-01-01,1984-01-01,2020-03-31,MALE,00282410,Electromedical and Electrotherapeutic Apparatus Ma,3845,153091.0106,Tiny,da47962ff2f445cfc67417664c41417a
30,1161,AMD,CEO,925.381,0.0,2530.0,2084.128,10.329,925.381,48.0,5549.838,2010,2008-07-01,1995-01-01,2011-01-10,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,5586.94,Tiny,d2262e7dedabe6e5d2bb489473fef9fd
31,1161,AMD,CEO,566.046,746.0,1150.305,1079.262,14.902,1312.046,48.0,3784.46,2011,2011-01-10,,2011-08-01,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,3769.2,Tiny,63026184bf215c4616367a9096ac8a34
