,GVKEY_x,TICKER,AGE,TDC1,YEAR,BECAMECEO,STOCK_AWARDS_x,STOCK_AWARDS_y,ownershipRatio,ownershipPower,yearServed,prestiegePower,SIZE_CATEGORY_x,MKVALT_x
0,1045,AAL,51.0,5231.393,2010,2003-04-25,3280.68,24.103,11.983168598917354,1,7.0,1,Medium,2597.5755
1,1045,AAL,52.0,5526.835,2011,2003-04-25,4020.38,13.811,14.685032179827157,1,8.0,1,Tiny,117.3438
2,1045,AAL,50.0,656.226,2012,2011-11-28,0.0,0.0,0.0,0,1.0,0,Tiny,266.5571
3,1045,AAL,51.0,19092.978,2013,2011-11-28,4199.761,0.0,15.340247795627052,1,2.0,0,Medium,6591.9923
4,1045,AAL,52.0,12301.976,2014,2013-12-09,7000.0,280.0,25.568534630753835,1,1.0,0,Big,37405.5843
5,1045,AAL,53.0,11418.547,2015,2013-12-09,10330.0,140.0,37.73185181938387,1,2.0,0,Big,26452.7417
6,1045,AAL,54.0,11140.763,2016,2013-12-09,11000.0,150.0,40.17912584832745,1,3.0,0,Big,23685.5569
7,1045,AAL,55.0,12175.486,2017,2013-12-09,11974.0,150.0,43.73680480980663,1,4.0,0,Big,24740.6812
8,1045,AAL,56.0,11999.517,2018,2013-12-09,11939.0,0.0,43.608962136652856,1,5.0,0,Big,14790.2192
9,1045,AAL,57.0,11571.714,2019,2013-12-09,11508.0,150.0,42.0346709329593,1,6.0,1,Big,12280.862
10,1075,PNW,55.0,4804.487,2010,2009-04-30,2350.004,72.123,2.75705246955222,0,1.0,0,Medium,4508.5165
11,1075,PNW,56.0,6697.916,2011,2009-04-30,3900.218,76.625,4.57578185768706,0,2.0,0,Medium,5263.4723
12,1075,PNW,57.0,10122.665,2012,2009-04-30,7100.295,89.51,8.330150018595408,1,3.0,0,Medium,5594.6981
13,1075,PNW,58.0,7123.873,2013,2009-04-30,4000.235,91.294,4.693122984275442,0,4.0,0,Medium,5830.8314
14,1075,PNW,59.0,7376.177,2014,2009-04-30,4199.976,99.953,4.9274614863889825,0,5.0,0,Medium,7553.105
15,1075,PNW,60.0,7833.951,2015,2009-04-30,4400.029,100.279,5.162166030590326,0,6.0,1,Medium,7155.9904
16,1075,PNW,61.0,9240.37,2016,2009-04-30,5908.828,106.762,6.932306851205065,1,7.0,1,Medium,8687.6261
17,1075,PNW,62.0,8161.669,2017,2009-04-30,4374.133,110.255,5.131784537302856,0,8.0,1,Medium,9519.0354
18,1075,PNW,63.0,9935.099,2018,2009-04-30,4370.322,119.58,5.127313427057315,0,9.0,1,Medium,9551.0904
19,1075,PNW,64.0,9560.511,2019,2009-04-30,4451.654,120.225,5.222733090791344,0,10.0,1,Big,10111.3695
20,1078,ABT,55.0,20023.899,2010,1999-01-01,10897.0,106.96,9.261746107295846,1,11.0,1,Big,74116.0034
21,1078,ABT,56.0,18591.822,2011,1999-01-01,9759.558,0.0,8.294993880465086,1,12.0,1,Big,88302.4112
22,1078,ABT,57.0,18955.889,2012,1999-01-01,9429.176,112.96,8.014190521520364,1,13.0,1,Huge,103271.6885
23,1078,ABT,58.0,20529.515,2013,1999-01-01,7337.4,112.979,6.236316039980961,1,14.0,1,Big,59338.5963
24,1078,ABT,59.0,16179.509,2014,1999-01-01,4649.999,134.913,3.9521987828925003,0,15.0,1,Big,67891.7357
25,1078,ABT,60.0,18789.474,2015,1999-01-01,6247.971,134.916,5.310371761746107,0,16.0,1,Big,66137.3852
26,1078,ABT,61.0,16424.876,2016,1999-01-01,5249.288,149.985,4.461555721765146,0,17.0,1,Big,56572.8983
27,1078,ABT,62.0,15620.117,2017,1999-01-01,4099.523,149.939,3.484329740939689,0,18.0,1,Big,99507.3661
28,1078,ABT,63.0,22872.393,2018,1999-01-01,7499.367,174.977,6.373977527707894,1,19.0,1,Huge,126983.9223
29,1078,ABT,64.0,22094.981,2019,1999-01-01,7562.448,174.91,6.427592302984974,1,20.0,1,Huge,153091.0106
30,1161,AMD,48.0,5549.838,2010,2008-07-01,2530.0,227.531,1.1744231980611342,0,2.0,0,Medium,5586.94
31,1161,AMD,48.0,3784.46,2011,2011-01-10,1150.305,238.691,0.5339703070536415,0,0.0,0,Medium,3769.2
32,1161,AMD,51.0,7298.328,2012,2011-08-25,3744.848,114.003,1.7383542942343249,0,1.0,0,Tiny,1711.2
33,1161,AMD,52.0,8211.49,2013,2011-08-25,4891.25,166.94,2.2705128330104833,0,2.0,0,Medium,2805.75
34,1161,AMD,53.0,7729.545,2014,2011-08-25,5073.165,182.128,2.354957574542219,0,3.0,0,Medium,2071.92
35,1161,AMD,45.0,6559.194,2015,2014-08-10,4438.124,164.26,2.0601722456410565,0,1.0,0,Medium,2273.04
36,1161,AMD,46.0,11724.775,2016,2014-08-10,7983.393,198.197,3.7058821891062736,0,2.0,0,Big,10602.9
37,1161,AMD,47.0,10894.82,2017,2014-08-10,6980.74,151.85,3.2404517769301506,0,3.0,0,Medium,9940.76
38,1161,AMD,48.0,13356.393,2018,2014-08-10,8622.801,198.381,4.002694674571045,0,4.0,0,Big,18552.3
39,1161,AMD,49.0,58534.289,2019,2014-08-10,53176.357,183.71,24.684406027344103,1,5.0,0,Big,53656.2
40,1209,APD,56.0,11620.529,2010,2008-01-01,3849.914,100.075,3.8470787029958924,0,2.0,0,Big,17707.1645
41,1209,APD,57.0,11383.764,2011,2008-01-01,4024.841,100.068,4.021876876741842,0,3.0,0,Big,16051.8285
42,1209,APD,58.0,9255.356,2012,2008-01-01,3599.997,120.074,3.597345756177697,0,4.0,0,Big,17571.7652
43,1209,APD,59.0,9976.558,2013,2008-01-01,4062.39,50.06,4.059398223509274,0,5.0,0,Big,22505.346
44,1209,APD,60.0,11768.072,2014,2008-01-01,0.0,120.002,0.0,0,6.0,1,Big,27798.507
