signature_index,tdc1
b59f94e4dda8ec5015a0671bd5e5c306,12825.066
2adeb86fd6aa67afdcc3d5fb774c5dad,15682.219
97ed9f33fb0bfb039837699be11fc118,11555.466
204a49147e37f02680313c1919974586,17937.581
9a90c08477c7b869cec762cfb686f5e5,18637.867
b5303f7f420626c92f5f9f31f1cfde27,18095.355
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
16337826247aa4e0b8dc0e15d48f3446,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
382cfc43d99b3831c7c8d841d705376c,388.968
a278f5855abc4348437c95fb8fc22e24,28286.228
a278f5855abc4348437c95fb8fc22e24,28286.228
a278f5855abc4348437c95fb8fc22e24,28286.228
a278f5855abc4348437c95fb8fc22e24,28286.228
a278f5855abc4348437c95fb8fc22e24,28286.228
a278f5855abc4348437c95fb8fc22e24,28286.228
a278f5855abc4348437c95fb8fc22e24,28286.228
