signature_index,total_sec
3b75bf93cc47db83b28e445910dce811,155.0
d0e2d095caa180d60be55482fad19d7e,187.5
e23d14b3037aae9f2f3808e31bf92d10,50.0
bf4a764239925552783cd524126370a4,75.0
