signature_index,tdc1
541a33f0a267ea6ff5bdf1ddbae46d42,8161.669
6d9a159cc6f08f58e0b9e1c1c4a7cc23,9935.099
62e209384e3f3e733406a530cd31d3ae,10894.82
d9a478f9d4186aea3a643451c3be14de,5238.064
9ad7fc47ab6064d852bfc28f4ea99293,4374.845
9486c6845f82c3fdb4bd49e47f012cf5,4718.444
f775a2c10f8f9bc1a91d002c1ad3b844,15201.446
c4e86334138690a4330260e4054c85bc,14287.301
efb4f580fd7c638948f22d8ddb9ec569,8709.697
930ce2fe5ff7d7628e24655fd7c0680d,5404.676
85243a8fcd1e87ae901f650533c5815b,7639.414
d8ab60f666f5fe29d6df461d504fde86,8799.147
e6c1bf93a563f8ad2ff4e03163f4f848,9132.451
23df9d4fd23629690082633f79a3eccd,9342.072
206b626b8afed6933aa965b2abdc61f3,10023.471
6d5d45e6ccccb1e62deefc29635f7976,13247.424
209a8fd49a6e93bfce3fef2e6c1cc0fc,4337.737
1f3d0956c1a9a4b3d36889b5e75c4f2c,9003.154
2407e6348ed8dcd6f20b8dd56d8cffca,13175.257
d27cd039cb6b7622cb2799c60f1c6127,9994.552
831b0d798e5e0654413a548388a88daf,7464.181
831b0d798e5e0654413a548388a88daf,7464.181
831b0d798e5e0654413a548388a88daf,7464.181
831b0d798e5e0654413a548388a88daf,7464.181
01c4ece540d1bfa2293bfc8f20e9e6ae,7464.181
01c4ece540d1bfa2293bfc8f20e9e6ae,7464.181
01c4ece540d1bfa2293bfc8f20e9e6ae,7464.181
01c4ece540d1bfa2293bfc8f20e9e6ae,7464.181
d7b68ad624639892762851612d6c83e3,16843.203
1a580b9dbedcaa0a3b7dfb3ae5cd08d4,16970.731
432201f66c8a744ff35dfb684f7baa0f,16508.084
ee4bce4548674ad7dfa3584548c2b1f1,11145.911
d5d9614365c5e50bb98f2d22cc20e076,2999.907
d5d9614365c5e50bb98f2d22cc20e076,2999.907
564daff83185246f2fbf593147b67b75,2104.037
564daff83185246f2fbf593147b67b75,2104.037
e9fdfe464cebb163ef67dbd92fa9d612,4553.31
b52b6a1d0b535add64899682266f627b,3106.827
e51b282068fe88248800677936606268,9854.756
b4b45bd25fe2b6a50363cd17e6160d44,15547.207
7b84d175a28e29454e72d2635f0f1acb,11846.929
bcdeb03a767020426957cd4de2f20557,6242.83
12572d75b36ba71d9f3bc75a0cc1c81c,6542.344
b87fc1fb569a330507fcdf46924b4a0f,5765.706
a48d967fc28375694930fd6d9aa9bd52,5407.202
844d203019c28ab6aaa4263537781f64,5778.515
81d5baec70f661fdcf727f82465fc989,18507.441
2652eb658b89d25650ae832190e5b475,5986.902
45ed7fb6e032c1284237f9152e40ef0b,5187.565
ae1227376e71fac30443cdae12bb805e,5770.701
bb8dab0d7b920c6dc03e15a1a2c466f9,9792.171
8d9be02d1ac415c5b71334f421f9e276,10888.951
840da7d26220f6bcedc5a46395efabfb,8934.226
6b8260d0af9970ad79eac7169ebe5bab,8972.537
faf6f399b10c0b1a81524799c3bda543,3643.103
8edc1ce4c74fb9c1a65e1fd1b5737a56,9672.712
47d64ea2f22c1d5644f3d24d8e581a73,8640.642
26ef53cb6b7e9b697b113c4ced50fe94,7263.457
96fe1b9632a8fb42d45f680ecac9a7f3,7199.399
3046cdb1bc1376d861b9d26a94d5c411,7172.691
d0d21410dce78d02520afdea407b5248,3693.092
47c4ec80c2a10be77e10f2654b86b154,9906.932
43d97382bd352b966fbc00c35a506753,4660.902
