GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,size_category,signature_index
1078,ABT,286.916,20.0,0.0,132.0,134.916,0.0,SP,00282410,ABBOTT LABORATORIES,2015,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,66137.3852,Medium,71e8155ee71e91d8198972b0111ea772
1078,ABT,306.985,25.0,0.0,132.0,149.985,0.0,SP,00282410,ABBOTT LABORATORIES,2016,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,56572.8983,Medium,d19625296a9da19d09050e13b5629982
1078,ABT,254.939,0.0,0.0,105.0,149.939,0.0,SP,00282410,ABBOTT LABORATORIES,2017,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,99507.3661,Medium,cf87c067464d24a3e0698c705b238b43
1078,ABT,300.977,0.0,0.0,126.0,174.977,0.0,SP,00282410,ABBOTT LABORATORIES,2018,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,126983.9223,Medium,d33b0f7d7f18c846ae2497e5a5c2baad
1078,ABT,300.91,0.0,0.0,126.0,174.91,0.0,SP,00282410,ABBOTT LABORATORIES,2019,2010,2985.222,302.295,0.0,1485.0,1176.56,0.0,153091.0106,Medium,d158b78d6db968893870b8cd1f89b647
1161,AMD,298.531,0.0,0.0,71.0,227.531,0.0,SP,00790310,ADVANCED MICRO DEVICES,2010,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,5586.94,Small,baf007aeae8c661278eb2ccdffe059d6
1161,AMD,304.891,0.0,0.0,66.2,238.691,0.0,SP,00790310,ADVANCED MICRO DEVICES,2011,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,3769.2,Small,bc6f1261298bac46e8a349661e7c0e8c
1161,AMD,135.67,0.0,0.0,21.667,114.003,0.0,SP,00790310,ADVANCED MICRO DEVICES,2012,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,1711.2,Small,eac3e686866c33f421209e86eb811906
1161,AMD,221.107,0.0,0.0,54.167,166.94,0.0,SP,00790310,ADVANCED MICRO DEVICES,2013,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,2805.75,Small,e48482c4fab5bcd451306ae43f1ea87e
1161,AMD,253.795,0.0,0.0,71.667,182.128,0.0,SP,00790310,ADVANCED MICRO DEVICES,2014,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,2071.92,Small,25000c151afbee80ee2859dc0e25ec5f
1161,AMD,239.26,0.0,0.0,75.0,164.26,0.0,SP,00790310,ADVANCED MICRO DEVICES,2015,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,2273.04,Small,e9507cc0ce51a171f9edfd9bbfdfc0d1
1161,AMD,273.197,0.0,0.0,75.0,198.197,0.0,SP,00790310,ADVANCED MICRO DEVICES,2016,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,10602.9,Medium,3e7d6f63efe780d561180bfd116d6992
1161,AMD,169.826,0.0,0.0,17.976,151.85,0.0,SP,00790310,ADVANCED MICRO DEVICES,2017,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,9940.76,Small,44382cb1f3910833703dce8da7d65657
1161,AMD,316.678,0.0,0.0,118.297,198.381,0.0,SP,00790310,ADVANCED MICRO DEVICES,2018,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,18552.3,Medium,eabed802c0a44b2f047df96b06da319f
1161,AMD,318.106,0.0,0.0,134.396,183.71,0.0,SP,00790310,ADVANCED MICRO DEVICES,2019,2010,2844.516,0.0,0.0,690.267,2154.249,0.0,53656.2,Medium,d05527df469913c92c5228fa2e363895
1209,APD,211.825,2.0,0.0,109.75,100.075,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2010,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,17707.1645,Medium,040ec750d165cf059d747f1f2e742246
1209,APD,200.068,2.0,0.0,98.0,100.068,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2011,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,16051.8285,Medium,ba2dc70389c3e482cee94994352f75f5
1209,APD,229.074,3.0,0.0,106.0,120.074,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2012,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,17571.7652,Medium,58f53a7afa040fe0af8fa7d54cdd7b43
1209,APD,50.06,0.0,0.0,0.0,50.06,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2013,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,22505.346,Medium,c65231938b6f7252ea13ad42d72dab9b
1209,APD,260.467,0.465,0.0,140.0,120.002,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2014,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,27798.507,Medium,19972f8247f6c7623738394330c7257e
1209,APD,242.074,0.0,0.0,122.0,120.074,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2015,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,27475.5012,Medium,8bd493d1f82debd25bd5b4f80145999b
1209,APD,257.331,0.0,0.0,137.25,120.081,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2016,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,32676.5493,Medium,ee843c45ab7489fe906c57542b3b8e6d
1209,APD,250.34,0.0,0.0,130.25,120.09,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2017,2010,2111.987,12.0,0.0,1099.25,1000.7370000000001,0.0,33018.2821,Medium,c499159d9cc5f0c5ee58996da2cc253c
