tic,fyear,roa,EBITDA_margin,NI_rev,roe,eps,chng_price,div_yield,vol,mva,tobinsQ,asset_g,revenue_g,ni_g,employee_g
AAL,2010,-0.01877391581632653,0.05877311682453766,-0.02124492557510149,0.11939163498098859,-1.4125056230319388,1.1236894440300151,0.0,0.6049727814765045,6542.5755,1.2607850566007652,-0.013758943313153527,0.1131194456996536,-0.6791553133514987,-0.00823827629911289
AAL,2011,-0.08298389802079839,0.028931812505203564,-0.08238281575222713,0.2783012234566165,-5.902740494171828,-0.5239435530727998,0.0,0.6421341650880236,7228.3438,1.3031006289835625,-0.04942602040816324,0.08353631032927389,3.201698513800425,0.023642172523961502
AAL,2012,-0.07979583156103785,0.057694628847314425,-0.07547777107221887,0.23488168273444346,-5.5951230569175525,1.4980472919580317,0.0,0.5728258720811872,8253.5571,1.3510658077413866,-0.014173096276417274,0.034676546499042615,-0.05204648812531587,-0.02933832709113604
AAL,2013,-0.04337953545579261,0.11066187481281821,-0.06865828092243187,0.6715488831929696,-7.024962749311484,0.7725322518847142,0.0,0.36285937132475815,9322.9923,1.2205163974170965,0.7982985963419822,0.07471333735666863,-0.02238805970149249,0.4199356913183281
AAL,2014,0.06584268122729661,0.15439624853458384,0.06757327080890974,1.426026719445819,4.132047743646726,1.1171071713439193,0.003729256013425322,0.3868052240784312,35384.5843,1.8084024639601564,0.035313874828516,0.5966606768493561,-2.571428571428571,0.026268115942028825
AAL,2015,0.15718269131467522,0.2169065625762381,0.185655037814101,1.3504880212954746,12.183368501269568,-0.19926204745945797,0.009445100354191263,0.3738242148427063,20817.7417,1.4299853702364969,0.10609764455918302,-0.03892145369284872,1.6405274115197779,0.04589585172109456
AAL,2016,0.052190193860436086,0.19494773519163763,0.06660029865604779,0.707001321003963,5.275047605530521,0.15404983569524067,0.008567144998929108,0.36562637921431007,19900.5569,1.388121793891641,0.05905194671073022,-0.01976091729690166,-0.6483574244415243,0.03206751054852308
AAL,2017,0.037337535995019065,0.16132395100338806,0.04546639183073898,0.48879266428935303,4.035683942225998,0.13344858962383044,0.00768787238131847,0.286701052731008,20814.6812,1.4049864043894467,0.0023793735616490785,0.05044798407167739,-0.28288490284005974,0.03515944399018811
AAL,2018,0.02330802244965335,0.12586156574841156,0.03170112929660313,-8.355029585798816,3.065493442405848,-0.3935144350088905,0.012457178449081284,0.4014943964973972,14959.2192,1.2469332982832617,0.17869094871196212,0.05529888407136263,-0.2642001042209484,0.018167456556082318
AAL,2019,0.028102341861821818,0.13162034609334033,0.036837965390665965,-14.288135593220339,3.937384838499497,-0.11786560368542598,0.013947001394700141,0.35630258807780313,12398.862,1.2066649227435622,-0.00965665236051505,0.02754765272445603,0.19405099150141636,0.037238169123351206
PNW,2010,0.028315247887132775,0.34882439726134434,0.1072582955560424,0.09503717698700115,3.2182862921761517,0.18904209663995708,0.05066344993968637,0.17844636487541402,825.1894999999995,1.0667483073887642,0.04696313691681708,-0.01014709588817575,4.122976730572223,-0.06388888888888888
PNW,2011,0.02589219235302705,0.36205639636710174,0.1047310419423338,0.08882426050211285,3.1074181205719205,0.2188638840263719,0.043586550435865505,0.19486068872895312,1441.6223000000005,1.1099550225619397,0.06053004751468993,-0.006822433199689337,-0.03022399465223835,-0.011424332344213695
PNW,2012,0.028516665090886396,0.3804256703305223,0.11555561747456844,0.09603841717919273,3.476686440137412,0.1014725299586332,0.04158493526873284,0.12154441511439597,1621.8920999999996,1.121221136781589,0.02048635735226667,0.01864175710399807,0.12392443581669221,-0.007504127269998495
PNW,2013,0.03006021459081957,0.36531603402739743,0.11754492813698031,0.09681175452440952,3.6854840173531067,0.05118944524959734,0.041619425547996976,0.1555004067095736,1636.3613999999998,1.121134019992766,0.009646839613845382,0.046285000563328405,0.0642969843424841,-0.027219113866626454
PNW,2014,0.027777560423241452,0.3518698419535621,0.11387082029263107,0.09103506290679801,3.5958343507791377,0.3896500130930962,0.03363343580734885,0.1609355106320148,3185.611999999999,1.2225594640093023,0.059579888080898424,0.010711428263766809,-0.020880430660421445,-0.010415047411783007
PNW,2015,0.029095654333323263,0.3859379197429338,0.12509344309147652,0.09538937986878906,3.939962155343305,-0.013509132463940698,0.03737593052109181,0.1925300450768857,2572.0733999999993,1.1711491378441865,0.04993358732142417,0.0010914666837742448,0.09975477558822421,0.006440464970153936
PNW,2016,0.02761978331634722,0.38351956536775855,0.1263430057375892,0.09202097916946836,3.970234513234594,0.26141305903142253,0.0324234268870947,0.17657761011131817,3884.004099999999,1.2426857479696178,0.06494398752004393,0.0009266350502639131,0.01092492515843091,-0.010613391602934286
PNW,2017,0.028700490425981853,0.4118998815245635,0.13700293047197204,0.09756066383179307,4.370892690958551,0.13709390638149221,0.031227987790561164,0.1150538690319514,4512.345400000001,1.265134474350614,0.0634099573407143,0.019039741251134057,0.10501907093119534,-0.007414418678025059
PNW,2018,0.028931224858049064,0.3673666378868713,0.13844833466847384,0.09784708347733019,4.558767907798255,0.05231264328966856,0.033127934272300465,0.18220630489181158,4328.175399999999,1.245025243710415,0.037905687275024746,0.035326940596236645,0.046249815745942335,-0.005244755244755206
PNW,2019,0.02913105712586666,0.3638181970604478,0.15508141399725572,0.0991262921109967,4.787790387420399,0.11281371699783938,0.033303680640498164,0.1500301883383489,4680.721500000001,1.2532961153666056,0.046141059754638114,-0.05961074942966427,0.05336691145824157,-0.007828726633647642
