Unnamed: 0,GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,size_category,signature_index
54,1230,ALK,121.742,1.742,0.0,45.092,74.908,0.0,SP,01165910,ALASKA AIR GROUP INC,2014,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,7857.3046,Small,75ae7aa8f3f3ec726913cc57651e4891
57,1230,ALK,117.096,4.596,0.0,45.018,67.482,0.0,SP,01165910,ALASKA AIR GROUP INC,2017,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,9046.2141,Small,d7436b5db10436e7acd64ee4b67ec75f
58,1230,ALK,187.343,12.343,0.0,75.02,99.98,0.0,SP,01165910,ALASKA AIR GROUP INC,2018,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,7496.3549,Small,bd84cf6124b51267183cfc067d1440e8
59,1230,ALK,178.883,3.883,0.0,75.023,99.977,0.0,SP,01165910,ALASKA AIR GROUP INC,2019,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,8333.25,Small,bfbdfc324ad4ce698212ea7302782bfa
70,1327,SWKS,241.475,0.0,0.0,57.0,184.475,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2010,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,3726.0362,Small,f5d8328a74d221bb179ccbb3a3b6100c
71,1327,SWKS,225.474,0.0,0.0,63.0,162.474,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2011,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,3347.4926,Small,1a1ca5c59cfbc36ecc964b97e7f3bb75
72,1327,SWKS,207.535,0.0,0.0,65.0,142.535,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2012,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,4530.4938,Small,c09ccf0a4114e7b4335ef7185d3594f1
73,1327,SWKS,238.911,0.0,0.0,51.25,187.661,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2013,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,4667.436,Small,67cf4012b1d018359e3598b89625cb5f
130,1598,AME,171.749,1.285,0.0,77.5,54.647,38.317,SP,03110010,AMETEK INC,2010,2010,2231.42,9.098,0.0,560.0,412.904,290.818,6307.8283,Small,edb00ee414966ee3b0d4a7581eb94f01
131,1598,AME,148.982,1.015,0.0,72.555,44.74,30.672,SP,03110010,AMETEK INC,2011,2010,2231.42,9.098,0.0,560.0,412.904,290.818,6751.6612,Small,7d04f5d8c55f319e6a96c84a5533c091
132,1598,AME,181.456,1.25,0.0,70.0,58.363,51.843,SP,03110010,AMETEK INC,2012,2010,2231.42,9.098,0.0,560.0,412.904,290.818,9144.3502,Small,9ad7788ba1468e46215724303b8945e8
167,1678,APA,1944.216,1902.357,0.0,41.858,0.0,0.0,SP,03743Q10,APA CORP,2018,2010,3240.972,3.852,0.0,1560.0,1659.11,0.0,9835.77,Small,9157e4518ad2ca3cd161ee8e75d21d2f
168,1678,APA,299.927,0.0,0.0,100.0,199.927,0.0,SP,03743Q10,APA CORP,2019,2010,3240.972,3.852,0.0,1560.0,1659.11,0.0,9623.4522,Small,55708625a39bb32c859c5a763c14f747
199,1878,ADSK,272.064,0.0,0.0,0.0,101.976,170.088,SP,05276910,AUTODESK INC,2010,2010,2238.964,0.0,0.0,118.728,650.948,1469.288,9234.36,Small,0d087446e1f052933b0b08c4a0b5adea
200,1878,ADSK,332.785,0.0,0.0,0.0,101.991,230.794,SP,05276910,AUTODESK INC,2011,2010,2238.964,0.0,0.0,118.728,650.948,1469.288,8132.4,Small,13b97977845ad704c8e65adb8b7866ec
201,1878,ADSK,372.974,0.0,0.0,85.0,287.974,0.0,SP,05276910,AUTODESK INC,2012,2010,2238.964,0.0,0.0,118.728,650.948,1469.288,8693.568,Small,ba14a1ef4477c793cee4f3b22040e293
219,1913,AVY,198.75,10.0,0.0,75.5,47.946,51.656,SP,05361110,AVERY DENNISON CORP,2010,2010,2229.535,90.0,0.0,1032.55,511.448,551.004,4462.2973,Small,283b1bf5395134a9917426fe8001e70f
220,1913,AVY,218.937,10.0,0.0,78.5,47.666,49.718,SP,05361110,AVERY DENNISON CORP,2011,2010,2229.535,90.0,0.0,1032.55,511.448,551.004,3047.8236,Small,38eb09785b71dc8246e32095e3cf9792
221,1913,AVY,215.12,10.0,0.0,78.5,46.609,43.935,SP,05361110,AVERY DENNISON CORP,2012,2010,2229.535,90.0,0.0,1032.55,511.448,551.004,3489.0318,Small,41e9dd69b3f95e8df7be8ded9475ef32
222,1913,AVY,29.961,10.0,0.0,28.833,0.0,0.0,SP,05361110,AVERY DENNISON CORP,2013,2010,2229.535,90.0,0.0,1032.55,511.448,551.004,4827.1738,Small,45bf87dc34cfca2e4c28ef2e50abab11
223,1913,AVY,170.302,0.0,0.0,52.5,117.802,0.0,SP,05361110,AVERY DENNISON CORP,2014,2010,2229.535,90.0,0.0,1032.55,511.448,551.004,4693.0129,Small,f5f3c81c028c577d199c3b283a26eef9
224,1913,AVY,215.015,0.0,0.0,90.0,125.015,0.0,SP,05361110,AVERY DENNISON CORP,2015,2010,2229.535,90.0,0.0,1032.55,511.448,551.004,5637.3949,Small,4cb2066549379be9a6838f0d439aef3a
225,1913,AVY,230.376,0.0,0.0,96.667,133.709,0.0,SP,05361110,AVERY DENNISON CORP,2016,2010,2229.535,90.0,0.0,1032.55,511.448,551.004,6201.058,Small,ded3c4585738bd299efc75b51b292484
227,1913,AVY,237.256,0.0,0.0,100.0,137.256,0.0,SP,05361110,AVERY DENNISON CORP,2018,2010,2229.535,90.0,0.0,1032.55,511.448,551.004,7610.7569,Small,40361f32d3efcf55a399e7e4d945ce06
229,1988,BALL,226.97,18.96,30.0,78.0,100.01,0.0,SP,05849810,BALL CORP,2010,2010,1997.455,165.365,270.0,662.0,900.09,0.0,5857.676,Small,00a9c9a6de2b73ce7161793b931d4d26
230,1988,BALL,241.227,20.0,28.2,78.0,115.027,0.0,SP,05849810,BALL CORP,2011,2010,1997.455,165.365,270.0,662.0,900.09,0.0,5724.8844,Small,c538b43e6360e4adc6523728e3aba7c6
231,1988,BALL,244.657,5.64,27.75,78.0,115.025,0.0,SP,05849810,BALL CORP,2012,2010,1997.455,165.365,270.0,662.0,900.09,0.0,6700.3728,Small,f5f511b1e48dc7979d78ff1289bec53c
232,1988,BALL,249.621,0.0,17.85,85.0,130.043,0.0,SP,05849810,BALL CORP,2013,2010,1997.455,165.365,270.0,662.0,900.09,0.0,7341.8159,Small,91eac03ed6aba9978939eedb635babee
233,1988,BALL,263.961,0.0,28.35,85.0,130.024,0.0,SP,05849810,BALL CORP,2014,2010,1997.455,165.365,270.0,662.0,900.09,0.0,9336.9722,Small,0bdd919e3cfd577a61aacc43f2d4414b
290,2184,BBY,204.0,0.0,0.0,85.0,119.0,0.0,SP,08651610,BEST BUY CO INC,2011,2010,3025.881,264.851,0.0,864.2860000000001,0.0,1913.6,8432.58,Small,c954550a35c358e731346c4a68b1c5a9
291,2184,BBY,172.4,0.0,0.0,85.0,87.4,0.0,SP,08651610,BEST BUY CO INC,2012,2010,3025.881,264.851,0.0,864.2860000000001,0.0,1913.6,5500.3678,Small,96aedc31fad4090a534f46756a9bdf9c
292,2184,BBY,244.297,0.0,0.0,69.292,175.005,0.0,SP,08651610,BEST BUY CO INC,2013,2010,3025.881,264.851,0.0,864.2860000000001,0.0,1913.6,8162.5185,Small,343541aab795d20ba8ddf21c632b147e
294,2184,BBY,296.502,0.0,0.0,116.209,180.293,0.0,SP,08651610,BEST BUY CO INC,2015,2010,3025.881,264.851,0.0,864.2860000000001,0.0,1913.6,9043.1475,Small,f8ad4c18d386012d8282e0d212374f9f
299,2220,BIO,23.625,0.0,0.0,23.625,0.0,0.0,SP,09057220,BIO-RAD LABORATORIES INC,2010,2010,134.625,0.0,0.0,134.625,0.0,0.0,2896.2601,Small,b582d42fb90eb6a0f77dc9ad6b82f805
300,2220,BIO,55.25,0.0,0.0,55.25,0.0,0.0,SP,09057220,BIO-RAD LABORATORIES INC,2011,2010,134.625,0.0,0.0,134.625,0.0,0.0,2703.117,Small,18de44e1a0364932d514c940aaa38e06
301,2220,BIO,60.0,0.0,0.0,60.0,0.0,0.0,SP,09057220,BIO-RAD LABORATORIES INC,2012,2010,134.625,0.0,0.0,134.625,0.0,0.0,2986.9345,Small,3c6df6ab6f17d833f0c6d8514c800c6b
302,2220,BIO,20.0,0.0,0.0,20.0,0.0,0.0,SP,09057220,BIO-RAD LABORATORIES INC,2013,2010,134.625,0.0,0.0,134.625,0.0,0.0,3557.6397,Small,d4fd98de788b3d5b4d8ef0ee4df2ae51
303,2220,BIO,42.5,0.0,0.0,42.5,0.0,0.0,SP,09057220,BIO-RAD LABORATORIES INC,2014,2010,134.625,0.0,0.0,134.625,0.0,0.0,3504.4243,Small,a26dcbd5b800b254bc6ea86a2ef8e62c
304,2220,BIO,135.0,0.0,0.0,135.0,0.0,0.0,SP,09057220,BIO-RAD LABORATORIES INC,2015,2010,134.625,0.0,0.0,134.625,0.0,0.0,4066.0302,Small,54a6327bf2d53e0ccdea99fb093cbaac
305,2220,BIO,85.0,0.0,0.0,85.0,0.0,0.0,SP,09057220,BIO-RAD LABORATORIES INC,2016,2010,134.625,0.0,0.0,134.625,0.0,0.0,5395.7526,Small,70f3afea2d89e58a6871f8db80c91868
306,2220,BIO,28.333,0.0,0.0,28.333,0.0,0.0,SP,09057220,BIO-RAD LABORATORIES INC,2017,2010,134.625,0.0,0.0,134.625,0.0,0.0,7106.8797,Small,c6a5392503b50b98771d1b93fa769494
307,2220,BIO,143.0,0.0,0.0,143.0,0.0,0.0,SP,09057220,BIO-RAD LABORATORIES INC,2018,2010,134.625,0.0,0.0,134.625,0.0,0.0,6909.0751,Small,6f6fbdb0e735aa849612264af09246b5
319,2312,RHI,16.067,1.817,0.0,14.25,0.0,0.0,SP,77032310,ROBERT HALF INTL INC,2010,2010,1388.06,41.852,0.0,364.5,981.708,0.0,4473.1998,Small,7078d6ebb3455c16f720077ca2b9fee4
320,2312,RHI,13.0,0.0,0.0,13.0,0.0,0.0,SP,77032310,ROBERT HALF INTL INC,2011,2010,1388.06,41.852,0.0,364.5,981.708,0.0,4043.7676,Small,4fffc6ebb323d71823f2cac4ccaa887a
321,2312,RHI,242.126,0.0,0.0,64.0,178.126,0.0,SP,77032310,ROBERT HALF INTL INC,2012,2010,1388.06,41.852,0.0,364.5,981.708,0.0,4436.949,Small,08ce2b92f6fefc9d7a448be4117f093e
322,2312,RHI,284.062,0.0,0.0,67.0,217.062,0.0,SP,77032310,ROBERT HALF INTL INC,2013,2010,1388.06,41.852,0.0,364.5,981.708,0.0,5772.1973,Small,f6b83f93876d3156e23a7160c018da66
323,2312,RHI,346.62,0.0,0.0,67.0,279.62,0.0,SP,77032310,ROBERT HALF INTL INC,2014,2010,1388.06,41.852,0.0,364.5,981.708,0.0,7889.1229,Small,f2b81ffbf4c852efb386f5fdd5c73947
324,2312,RHI,345.111,0.0,0.0,65.5,279.611,0.0,SP,77032310,ROBERT HALF INTL INC,2015,2010,1388.06,41.852,0.0,364.5,981.708,0.0,6182.6938,Small,47dda12df6a9c8dbc9abcfd8474b1493
325,2312,RHI,307.11,0.0,0.0,27.5,279.61,0.0,SP,77032310,ROBERT HALF INTL INC,2016,2010,1388.06,41.852,0.0,364.5,981.708,0.0,6233.9377,Small,00c2a90eb95f9c5fd8e0be8f6c587522
326,2312,RHI,329.657,0.0,0.0,50.063,279.594,0.0,SP,77032310,ROBERT HALF INTL INC,2017,2010,1388.06,41.852,0.0,364.5,981.708,0.0,6901.4559,Small,248856a6c606a70e9e1eb21e8ceba0d6
327,2312,RHI,333.083,0.0,0.0,53.5,279.583,0.0,SP,77032310,ROBERT HALF INTL INC,2018,2010,1388.06,41.852,0.0,364.5,981.708,0.0,6811.2616,Small,3a7c1a4de7874bb7f8b4f35a19ff5699
328,2312,RHI,333.083,0.0,0.0,53.5,279.583,0.0,SP,77032310,ROBERT HALF INTL INC,2019,2010,1388.06,41.852,0.0,364.5,981.708,0.0,7269.828,Small,df277127b46b7f23b0b6144c3ace6647
348,2547,CI,268.424,18.424,0.0,150.0,100.0,0.0,SP,12552310,CIGNA GROUP (THE),2010,2010,4959.691,99.691,0.0,3948.455,911.545,0.0,9967.1208,Small,b34b310360d681740cc98eb2ad1017a1
378,2710,STZ,198.555,0.0,0.0,87.0,59.99,51.565,SP,21036P10,CONSTELLATION BRANDS,2010,2010,1267.191,0.0,0.0,569.5,374.94,322.751,4287.2904,Small,2309e138449358a35489362821a779c8
379,2710,STZ,203.126,0.0,0.0,92.5,59.994,50.632,SP,21036P10,CONSTELLATION BRANDS,2011,2010,1267.191,0.0,0.0,569.5,374.94,322.751,4244.2893,Small,c11a9d0a7807c9b233e01cb6066cfcdb
380,2710,STZ,216.561,0.0,0.0,97.0,69.996,49.565,SP,21036P10,CONSTELLATION BRANDS,2012,2010,1267.191,0.0,0.0,569.5,374.94,322.751,8178.2962,Small,8785d46ee0c4dafdc8aed01ad447e508
437,3026,CHD,55.0,0.0,0.0,27.411,27.589,0.0,SP,17134010,CHURCH & DWIGHT INC,2010,2010,1690.645,14.538,0.0,277.899,614.168,784.04,4914.5691,Small,66aa01afd7ba8c70ea5d80a3deda97d7
438,3026,CHD,159.56,0.0,0.0,0.0,92.053,67.507,SP,17134010,CHURCH & DWIGHT INC,2011,2010,1690.645,14.538,0.0,277.899,614.168,784.04,6511.0531,Small,6e2e1a84a1325f62a80ebfc2f6e8d443
439,3026,CHD,180.054,0.0,0.0,0.0,90.028,90.026,SP,17134010,CHURCH & DWIGHT INC,2012,2010,1690.645,14.538,0.0,277.899,614.168,784.04,7434.4982,Small,a1f2f44f6d2ec7d5de0171a3bc678348
440,3026,CHD,200.036,0.0,0.0,0.0,90.035,110.001,SP,17134010,CHURCH & DWIGHT INC,2013,2010,1690.645,14.538,0.0,277.899,614.168,784.04,9210.6002,Small,626cb01a58bb753fc9b9521f52928d7e
447,3062,CTAS,135.477,0.0,0.0,59.4,40.114,35.963,SP,17290810,CINTAS CORP,2010,2010,754.635,0.0,0.0,374.25,200.57,179.815,4519.6344,Small,40a86a264866b495e96fed074d2149a9
448,3062,CTAS,145.898,0.0,0.0,64.02,41.564,40.314,SP,17290810,CINTAS CORP,2011,2010,754.635,0.0,0.0,374.25,200.57,179.815,4668.588,Small,498b59a35b96caf8e9d4b625717c8778
449,3062,CTAS,151.238,0.0,0.0,69.465,41.158,40.615,SP,17290810,CINTAS CORP,2012,2010,754.635,0.0,0.0,374.25,200.57,179.815,5582.7847,Small,44247e9019adee66830663d6eb91771f
450,3062,CTAS,162.662,0.0,0.0,75.25,43.566,43.846,SP,17290810,CINTAS CORP,2013,2010,754.635,0.0,0.0,374.25,200.57,179.815,7270.4006,Small,f0e1eaa4b9871674036873679c2890f0
451,3062,CTAS,187.815,0.0,0.0,87.775,50.033,50.007,SP,17290810,CINTAS CORP,2014,2010,754.635,0.0,0.0,374.25,200.57,179.815,9616.5113,Small,2c2326ee2a5288aa2b7dfb27f621659b
452,3062,CTAS,198.245,0.0,0.0,94.7,51.778,51.767,SP,17290810,CINTAS CORP,2015,2010,754.635,0.0,0.0,374.25,200.57,179.815,9879.3924,Small,4c54c6e4454d649dcd2cc01e216c8f6d
456,3121,CLX,205.0,0.0,0.0,95.0,110.0,0.0,SP,18905410,CLOROX CO/DE,2010,2010,1935.0,0.0,0.0,835.0,1100.0,0.0,8625.6324,Small,007be63b5f7cf96ac64d0bfec9a27d14
457,3121,CLX,223.75,0.0,0.0,106.25,117.5,0.0,SP,18905410,CLOROX CO/DE,2011,2010,1935.0,0.0,0.0,835.0,1100.0,0.0,8839.1585,Small,afb1433e8ec438e21c1b04eec0822948
458,3121,CLX,230.0,0.0,0.0,110.0,120.0,0.0,SP,18905410,CLOROX CO/DE,2012,2010,1935.0,0.0,0.0,835.0,1100.0,0.0,9388.0625,Small,17470874a2b3b425cc7f70b7af8e1932
506,3231,CMA,154.5,0.0,0.0,94.5,60.0,0.0,SP,20034010,COMERICA INC,2010,2010,1374.87,26.666,0.0,808.204,540.0,0.0,7456.8384,Small,ee8c771b7950572b56135e1705c62005
507,3231,CMA,155.647,0.0,0.0,90.647,65.0,0.0,SP,20034010,COMERICA INC,2011,2010,1374.87,26.666,0.0,808.204,540.0,0.0,5091.2172,Small,9a44e123ce5a8d2fcb30e9766912a8e4
508,3231,CMA,168.188,0.0,0.0,103.188,65.0,0.0,SP,20034010,COMERICA INC,2012,2010,1374.87,26.666,0.0,808.204,540.0,0.0,5712.2635,Small,0d99ee16205b9c8247655d866f424c9b
509,3231,CMA,170.201,0.0,0.0,105.201,65.0,0.0,SP,20034010,COMERICA INC,2013,2010,1374.87,26.666,0.0,808.204,540.0,0.0,8666.7322,Small,e783725480604d2ed6ab1c3e8a62271c
510,3231,CMA,190.679,0.0,0.0,115.679,75.0,0.0,SP,20034010,COMERICA INC,2014,2010,1374.87,26.666,0.0,808.204,540.0,0.0,8385.25,Small,fd1b476e17524df8dacf846225ccfb24
511,3231,CMA,206.703,0.0,0.0,121.633,85.07,0.0,SP,20034010,COMERICA INC,2015,2010,1374.87,26.666,0.0,808.204,540.0,0.0,7349.8656,Small,c5af52ace8082761361961b714b88d4c
