Unnamed: 0,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,size_category,signature_index
430,2991,CVX,CEO,1670.833,0.0,7095.66,9807.0,225.435,1670.833,56.0,22278.928,2012,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,210515.9217,Large,beff6b29d3d29bbf60cbe96f04e677be
431,2991,CVX,CEO,1770.833,0.0,5807.79,9228.96,231.911,1770.833,57.0,20239.494,2013,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,239028.1507,Large,27fb7ec22aca8f20027671e53caca76d
432,2991,CVX,CEO,1825.5,0.0,4816.5,8586.24,277.785,1825.5,58.0,18606.025,2014,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,210859.0248,Large,24e9dce71192586967af82b002170fcd
434,2991,CVX,CEO,1863.5,0.0,5397.824,9194.544,210.794,1863.5,60.0,18763.062,2016,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,222630.3739,Large,a83005249977e72ef54f8f54b077edb1
435,2991,CVX,CEO,1863.5,0.0,12140.826,3830.0,214.818,1863.5,61.0,21799.144,2017,2010-01-01,,2018-02-01,MALE,16676410,Petroleum Refineries,2911,238449.6434,Large,6f33c552cf9edc4ca8a4428b2428c0cc
436,2991,CVX,CEO,1468.75,0.0,10102.641,3312.399,927.281,1468.75,57.0,19411.071,2018,2018-02-01,,,MALE,16676410,Petroleum Refineries,2911,207009.746,Large,85b8c4db8c982efa5c3f2bf5fed74637
437,2991,CVX,CEO,1570.833,0.0,11663.631,3750.127,422.693,1570.833,58.0,19687.284,2019,2018-02-01,,,MALE,16676410,Petroleum Refineries,2911,226820.0657,Large,3ab6d2f27fdf3d28b839fcecb742c8d8
475,3144,KO,CEO,1450.0,0.0,7434.329,2208.151,251.643,1450.0,53.0,16384.123,2018,2017-05-01,,,MALE,19121610,Soft Drink Manufacturing,2086,202089.8,Large,950a07cc5850f8a292902da81c5d8460
476,3144,KO,CEO,1575.0,0.0,8231.11,2603.81,439.075,1575.0,54.0,18000.995,2019,2017-05-01,,,MALE,19121610,Soft Drink Manufacturing,2086,236898.0,Large,8ac71e6edc35a1cb9e84e45edcfe1c49
506,3226,CMCSA,CEO,3291.832,0.0,5330.304,5350.324,4863.243,3291.832,59.0,28809.952,2019,2002-11-01,1976-01-01,,MALE,20030N10,Cable and Other Subscription Programming (eff thru,4841,204749.939,Large,b5f7cc4d190dee46712c556d6bdf8bab
664,3980,DIS,CEO,3000.0,0.0,10072.895,9583.291,1144.342,3000.0,68.0,45550.528,2019,2022-11-20,,,MALE,25468710,Television Broadcasting Stations (eff_from 06/15/2,4888,234836.64,Large,4f6370b9bc69c1e1b1172511f31003ce
805,4503,XOM,CEO,2207.0,3360.0,15465.375,0.0,443.921,5567.0,58.0,21476.296,2010,2006-01-01,1975-01-01,,MALE,30231G10,Petroleum Refineries,2911,364064.48,Large,2dcd4911b01c233e8ae6d1862ad31147
806,4503,XOM,CEO,2387.0,4368.0,17890.875,0.0,519.23,6755.0,59.0,25165.105,2011,2006-01-01,1975-01-01,,MALE,30231G10,Petroleum Refineries,2911,401253.84,Large,27adf661cb870544639a2410974dce40
807,4503,XOM,CEO,2567.0,4587.0,19627.875,0.0,447.425,7154.0,60.0,27229.3,2012,2006-01-01,1975-01-01,,MALE,30231G10,Petroleum Refineries,2911,389648.1,Large,38f0e6f232262bf63150682330af2980
808,4503,XOM,CEO,2717.0,3670.0,21254.625,0.0,496.704,6387.0,61.0,28138.329,2013,2006-01-01,1975-01-01,,MALE,30231G10,Petroleum Refineries,2911,438702.0,Large,fe841c74bf968396a37fad358e5f57a1
809,4503,XOM,CEO,2867.0,3670.0,21420.0,0.0,455.42,6537.0,62.0,28412.42,2014,2006-01-01,1975-01-01,,MALE,30231G10,Petroleum Refineries,2911,388382.45,Large,e98f30ce7f798f2f11eb5c8e52b4fd64
810,4503,XOM,CEO,3047.0,2386.0,18288.0,0.0,540.291,5433.0,63.0,24261.291,2015,2006-01-01,1975-01-01,,MALE,30231G10,Petroleum Refineries,2911,323960.2,Large,089ebc7b2af929106859855d9d6fb662
811,4503,XOM,CEO,3167.0,1670.0,19731.375,0.0,575.85,4837.0,64.0,25144.225,2016,2006-01-01,1975-01-01,,MALE,30231G10,Petroleum Refineries,2911,374398.48,Large,30c529c5f3a926379a11010ef0368891
812,4503,XOM,CEO,1200.0,1848.0,10809.81,0.0,282.544,3048.0,52.0,14140.354,2017,2017-01-01,,,MALE,30231G10,Petroleum Refineries,2911,354549.96,Large,f65ad6da0b3977b64567ffb778c68068
813,4503,XOM,CEO,1400.0,2464.0,11648.25,0.0,288.04,3864.0,53.0,15800.29,2018,2017-01-01,,,MALE,30231G10,Petroleum Refineries,2911,288921.03,Large,f6ca84b86c8eee48b962cbc7d68275c9
814,4503,XOM,CEO,1500.0,2216.0,12371.85,0.0,336.482,3716.0,54.0,16424.332,2019,2017-01-01,,,MALE,30231G10,Petroleum Refineries,2911,295448.52,Large,995ae268484145d18b8ca811482b3e06
