GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,size_category,signature_index
1209,APD,229.074,3.0,0.0,106.0,120.074,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2012,2010,2111.987,12.0,0.0,1099.25,1000.737,0.0,17571.7652,Medium,58f53a7afa040fe0af8fa7d54cdd7b43
1209,APD,50.06,0.0,0.0,0.0,50.06,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2013,2010,2111.987,12.0,0.0,1099.25,1000.737,0.0,22505.346,Medium,c65231938b6f7252ea13ad42d72dab9b
1209,APD,260.467,0.465,0.0,140.0,120.002,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2014,2010,2111.987,12.0,0.0,1099.25,1000.737,0.0,27798.507,Medium,19972f8247f6c7623738394330c7257e
1209,APD,242.074,0.0,0.0,122.0,120.074,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2015,2010,2111.987,12.0,0.0,1099.25,1000.737,0.0,27475.5012,Medium,8bd493d1f82debd25bd5b4f80145999b
1209,APD,257.331,0.0,0.0,137.25,120.081,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2016,2010,2111.987,12.0,0.0,1099.25,1000.737,0.0,32676.5493,Medium,ee843c45ab7489fe906c57542b3b8e6d
1209,APD,250.34,0.0,0.0,130.25,120.09,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2017,2010,2111.987,12.0,0.0,1099.25,1000.737,0.0,33018.2821,Medium,c499159d9cc5f0c5ee58996da2cc253c
1209,APD,280.162,10.0,0.0,120.0,150.162,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2018,2010,2111.987,12.0,0.0,1099.25,1000.737,0.0,36670.1478,Medium,cfa9de6eb9b1df28cb1dca7e2b960ded
1209,APD,280.14,10.0,0.0,120.0,150.14,0.0,SP,00915810,AIR PRODUCTS & CHEMICALS INC,2019,2010,2111.987,12.0,0.0,1099.25,1000.737,0.0,48901.2719,Medium,370d04783825fc8725bac55a48c59f5e
1230,ALK,123.867,3.867,0.0,45.036,74.964,0.0,SP,01165910,ALASKA AIR GROUP INC,2015,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,10077.8393,Medium,323c9a9e154e8df9286ffdbf0eeeba83
1230,ALK,163.231,3.231,0.0,70.038,89.962,0.0,SP,01165910,ALASKA AIR GROUP INC,2016,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,10942.8934,Medium,266ada2ad17034c9999e1936c2ae7243
1300,HON,244.401,1.201,0.0,188.5,0.0,54.7,SP,43851610,HONEYWELL INTERNATIONAL INC,2010,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,41624.28,Medium,08147d79494bb41a4c07f244cd33a27e
1300,HON,280.401,26.301,0.0,186.0,0.0,68.1,SP,43851610,HONEYWELL INTERNATIONAL INC,2011,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,42104.945,Medium,c4120abcd3f709d248d50ae16df4d639
1300,HON,287.445,26.415,0.0,186.0,37.519,37.511,SP,43851610,HONEYWELL INTERNATIONAL INC,2012,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,49684.316,Medium,ea405a1c972baecbc5eed31669ff540c
1300,HON,286.558,26.535,0.0,185.0,37.528,37.495,SP,43851610,HONEYWELL INTERNATIONAL INC,2013,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,71615.806,Medium,8057abb20f15835bd5639a12c0fc2e07
1300,HON,286.666,26.663,0.0,185.0,37.506,37.497,SP,43851610,HONEYWELL INTERNATIONAL INC,2014,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,78157.424,Medium,8245e5d642c1d4ab7b567acf879853ec
1300,HON,326.905,26.806,0.0,200.0,50.083,50.016,SP,43851610,HONEYWELL INTERNATIONAL INC,2015,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,79790.328,Medium,e79d9c04f2174c7065cf0464cf9fd629
1300,HON,352.037,26.963,0.0,225.0,50.076,49.998,SP,43851610,HONEYWELL INTERNATIONAL INC,2016,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,88138.68,Medium,cd600b65d5680eb5e52b107b1f8360e8
1300,HON,342.153,27.139,0.0,215.0,50.006,50.008,SP,43851610,HONEYWELL INTERNATIONAL INC,2017,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,115158.024,Medium,e4034be4941ac487905fc8720ac84073
1300,HON,342.765,27.335,0.0,215.0,50.116,50.314,SP,43851610,HONEYWELL INTERNATIONAL INC,2018,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,96394.752,Medium,636c9984d77cc893ae697307be420eab
1300,HON,299.751,25.52,0.0,114.167,110.011,50.053,SP,43851610,HONEYWELL INTERNATIONAL INC,2019,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,125864.7,Medium,c2a626c3ecd475149c3c47475ef3bd17
1327,SWKS,262.455,1.483,0.0,76.875,184.097,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2014,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,10983.06,Medium,60fb3b7fff2e6748e35a9b8c736eb349
1327,SWKS,264.662,2.681,0.0,79.375,182.606,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2015,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,16025.163,Medium,13abd08b7e3f0979f519138633a182a7
1327,SWKS,273.435,5.198,0.0,89.0,179.237,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2016,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,14078.286,Medium,1454b770eaef16e3ea6e56b65da403b9
1327,SWKS,296.18,0.0,0.0,92.0,204.18,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2017,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,18657.89,Medium,fcbeba66782064baf82c8d9d617b755c
1327,SWKS,297.361,0.0,0.0,95.75,201.611,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2018,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,16091.954,Medium,c31e0d1efebb388afda614f71a6f1d02
1327,SWKS,196.558,0.0,0.0,7.609,188.949,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2019,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,13480.425,Medium,1268f84a2b6f3034ec066f7811472e23
1380,HES,269.061,0.186,0.0,119.0,149.875,0.0,SP,42809H10,HESS CORP,2010,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,25846.1037,Medium,a44314a89162c37dbc07f9873281ef8c
1380,HES,268.325,0.186,0.0,119.0,149.139,0.0,SP,42809H10,HESS CORP,2011,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,19310.6368,Medium,d15a0c017444c3808a8acc3cb23ee199
1380,HES,305.095,0.235,0.0,130.0,174.86,0.0,SP,42809H10,HESS CORP,2012,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,18087.3229,Medium,f8402342cddca19920b0f45cbab92a6e
1380,HES,294.925,0.16,0.0,119.792,174.973,0.0,SP,42809H10,HESS CORP,2013,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,27001.062,Medium,ab385880a679949e4821c602fad53f2d
1380,HES,350.775,15.773,0.0,160.0,175.002,0.0,SP,42809H10,HESS CORP,2014,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,21100.3397,Medium,3092248dc48e21918eabf6c9c22eb6df
1380,HES,350.97,15.918,0.0,160.0,175.052,0.0,SP,42809H10,HESS CORP,2015,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,13867.5101,Medium,1c4bfdd282ed0f42e1e50f0b74a8f4f8
1380,HES,482.718,16.813,0.0,290.833,175.072,0.0,SP,42809H10,HESS CORP,2016,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,19716.2177,Medium,a68679808e5a12bba4932c9aa7affba2
1380,HES,506.8,21.75,0.0,310.0,175.05,0.0,SP,42809H10,HESS CORP,2017,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,14955.6134,Medium,fedd5cf56f61fb80a3197c1d61d13499
1380,HES,507.961,22.948,0.0,310.0,175.013,0.0,SP,42809H10,HESS CORP,2018,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,11803.1175,Medium,b02be499e70eb98ce32a9b76ace6802d
1380,HES,489.055,4.012,0.0,310.0,175.043,0.0,SP,42809H10,HESS CORP,2019,2010,2807.704,40.454,0.0,1268.5,1498.75,0.0,20374.0436,Medium,b9a86d286c3907fca3feedfbed561b0c
1440,AEP,205.741,0.741,0.0,82.0,123.0,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2010,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,17299.4359,Medium,2ae9617aced00f129347d607f982fef0
1440,AEP,74.132,0.247,0.0,29.26,44.625,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2011,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,19970.2041,Medium,7b3387dcf8a232767cca67cc19c0e02a
1440,AEP,76.521,0.688,0.0,30.333,45.5,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2012,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,20728.3102,Medium,706980b448b759d5da42dac25418d676
1440,AEP,233.642,0.642,0.0,93.25,139.75,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2013,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,22798.697,Medium,891bc91bc2058b2b94861e57c4e30828
1440,AEP,252.142,0.642,0.0,105.25,146.25,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2014,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,29716.4894,Medium,7582e0e5ebca9cd2e8454e3b8168453c
1440,AEP,264.053,0.803,0.0,111.375,151.875,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2015,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,28613.6583,Medium,995eb1a7981e9c1669074d7e02691b75
1440,AEP,273.803,0.803,0.0,115.5,157.5,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2016,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,30958.1875,Medium,1cb25cd490d976b7f4b6ea3c6485c252
1440,AEP,273.803,0.803,0.0,115.5,157.5,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2017,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,36196.8814,Medium,3812a987368d6cdf4baa94d956776942
1440,AEP,278.84,0.84,0.0,120.5,157.5,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2018,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,36865.206,Medium,dd314c06e90f75b1c686717ec71debbe
1440,AEP,278.872,0.872,0.0,120.5,157.5,0.0,SP,02553710,AMERICAN ELECTRIC POWER CO,2019,2010,2638.3920000000003,27.392,0.0,1135.0,1476.0,0.0,46703.9122,Medium,674a89e6d110833bf9f7f3d6a6c92fb9
1447,AXP,276.558,26.558,0.0,100.0,150.0,0.0,SP,02581610,AMERICAN EXPRESS CO,2010,2010,3626.088,696.85,0.0,1255.0,1650.0,0.0,51375.24,Medium,47430bd3b266ec49ccf836be24147945
1447,AXP,279.238,29.238,0.0,100.0,150.0,0.0,SP,02581610,AMERICAN EXPRESS CO,2011,2010,3626.088,696.85,0.0,1255.0,1650.0,0.0,54905.88,Medium,f6e74c07add7334851b6b86c95dcb580
1447,AXP,284.371,34.371,0.0,100.0,150.0,0.0,SP,02581610,AMERICAN EXPRESS CO,2012,2010,3626.088,696.85,0.0,1255.0,1650.0,0.0,63515.4,Medium,f0011b3410dc95ba623a9a7ccf7c42df
1447,AXP,303.083,40.583,0.0,107.5,155.0,0.0,SP,02581610,AMERICAN EXPRESS CO,2013,2010,3626.088,696.85,0.0,1255.0,1650.0,0.0,96536.72,Medium,4040052068b777e791d1cd8edac56f82
1447,AXP,313.768,48.768,0.0,110.0,155.0,0.0,SP,02581610,AMERICAN EXPRESS CO,2014,2010,3626.088,696.85,0.0,1255.0,1650.0,0.0,95179.92,Medium,7eef80948b5e5dee96db873b2ec3c58b
1447,AXP,337.538,57.538,0.0,115.0,165.0,0.0,SP,02581610,AMERICAN EXPRESS CO,2015,2010,3626.088,696.85,0.0,1255.0,1650.0,0.0,67393.95,Medium,66c4afbf76711afc90c250f31a4e604d
1449,AFL,286.414,35.329,0.0,124.733,0.0,100.332,SP,00105510,AFLAC INC,2010,2010,6346.974,3216.9480000000003,0.0,1404.597,0.0,1488.235,26502.9702,Medium,ece72fb6abbc38842c1c4286db9cc171
1449,AFL,241.096,1.081,0.0,140.0,100.015,0.0,SP,00105510,AFLAC INC,2011,2010,6346.974,3216.9480000000003,0.0,1404.597,0.0,1488.235,20172.5706,Medium,cec640eb9f13ad43b762ef4cffda3a10
1449,AFL,72.914,21.081,0.0,51.833,0.0,0.0,SP,00105510,AFLAC INC,2012,2010,6346.974,3216.9480000000003,0.0,1404.597,0.0,1488.235,24848.7923,Medium,170fb2674d8c490f84dfa0b0d06d61cc
1449,AFL,3377.737,3113.603,0.0,113.0,0.0,151.134,SP,00105510,AFLAC INC,2013,2010,6346.974,3216.9480000000003,0.0,1404.597,0.0,1488.235,30688.7884,Medium,3d40a7c72ed849e8e31474523822d903
1449,AFL,4183.713,4055.346,0.0,86.25,0.0,0.0,SP,00105510,AFLAC INC,2014,2010,6346.974,3216.9480000000003,0.0,1404.597,0.0,1488.235,27028.9651,Medium,9c924eddf4e2f948447b186cea109caa
1449,AFL,181.789,0.0,0.0,83.333,98.456,0.0,SP,00105510,AFLAC INC,2015,2010,6346.974,3216.9480000000003,0.0,1404.597,0.0,1488.235,25420.362,Medium,d1e25c92839022fdf0efb16faea9b8d6
1449,AFL,335.983,12.844,0.0,125.0,67.54,130.599,SP,00105510,AFLAC INC,2016,2010,6346.974,3216.9480000000003,0.0,1404.597,0.0,1488.235,28244.376,Medium,35ed5e6ee49ab4d650ef48a7ab2e48a1
1449,AFL,260.034,0.0,0.0,125.0,135.034,0.0,SP,00105510,AFLAC INC,2017,2010,6346.974,3216.9480000000003,0.0,1404.597,0.0,1488.235,34274.1399,Medium,ac34c88f7d3eb5de37b5247a12e97a09
